p,k,maxb,status1,solstatus1,minb,status2,solstatus2,group,as
1,1000,0.0367643451,OK,BEST_FE,0.0367643451,OK,BEST_FE,1,1
0.9,1000,0.2111803852,OK,OPTIMAL,-0.142755657,OK,OPTIMAL,1,1
0.8,1000,0.3535190353,OK,OPTIMAL,-0.281162035,OK,OPTIMAL,1,1
0.7,1000,0.4891973377,OK,OPTIMAL,-0.417572424,OK,OPTIMAL,1,1
0.6,1000,0.6262582734,OK,OPTIMAL,-0.554769544,OK,OPTIMAL,1,1
0.5,1000,0.7707296187,OK,OPTIMAL,-0.697200911,OK,OPTIMAL,1,1
0.4,1000,0.9255369211,OK,OPTIMAL,-0.848981115,OK,OPTIMAL,1,1
0.3,1000,1.1008365354,OK,OPTIMAL,-1.022837578,OK,OPTIMAL,1,1
0.2,1000,1.3173144921,OK,OPTIMAL,-1.239104349,OK,OPTIMAL,1,1
0.1,1000,1.6760603956,OK,OPTIMAL,-1.556672777,OK,OPTIMAL,1,1
1,1000,0.0367643451,OK,BEST_FE,0.0367643451,OK,OPTIMAL,1,2
0.9,1000,0.3460311528,OK,BEST_FE,-0.278270511,OK,BEST_FE,1,2
0.8,1000,0.4521974744,OK,BEST_FE,-0.428630065,OK,OPTIMAL,1,2
0.7,1000,0.5850694616,OK,BEST_FE,-0.495529808,OK,BEST_FE,1,2
0.6,1000,0.7155546586,OK,OPTIMAL,-0.626638717,OK,OPTIMAL,1,2
0.5,1000,0.8505354534,OK,OPTIMAL,-0.759782037,OK,OPTIMAL,1,2
0.4,1000,0.9932077116,OK,OPTIMAL,-0.902332429,OK,OPTIMAL,1,2
0.3,1000,1.152861651,OK,OPTIMAL,-1.065677389,OK,OPTIMAL,1,2
0.2,1000,1.4740629837,OK,OPTIMAL,-1.379827004,OK,OPTIMAL,1,2
0.1,1000,1.7521960867,OK,OPTIMAL,-2.724184798,OK,BEST_FE,1,2
1,1000,0.0367643451,OK,OPTIMAL,0.0367643451,OK,BEST_FE,1,3
0.9,1000,0.2111804005,OK,OPTIMAL,-0.142755662,OK,OPTIMAL,1,3
0.8,1000,0.3535168241,OK,OPTIMAL,-0.281162002,OK,OPTIMAL,1,3
0.7,1000,0.4891931904,OK,OPTIMAL,-0.417574003,OK,OPTIMAL,1,3
0.6,1000,0.6262650132,OK,OPTIMAL,-0.554769538,OK,OPTIMAL,1,3
0.5,1000,0.7707326485,OK,OPTIMAL,-0.69720406,OK,OPTIMAL,1,3
0.4,1000,0.9255355265,OK,OPTIMAL,-0.848979767,OK,OPTIMAL,1,3
0.3,1000,1.1008360653,OK,OPTIMAL,-1.022837557,OK,OPTIMAL,1,3
0.2,1000,1.2995872621,OK,OPTIMAL,-1.239104286,OK,OPTIMAL,1,3
0.1,1000,1.6760601319,OK,OPTIMAL,-1.556672753,OK,OPTIMAL,1,3
