p,k,maxb,status1,solstatus1,minb,status2,solstatus2,group,as
1,2000,0.003109411,OK,BEST_FE,0.003109411,OK,OPTIMAL,1,1
0.9,2000,0.1755713058,OK,OPTIMAL,-0.166412984,OK,OPTIMAL,1,1
0.8,2000,0.3132916901,OK,OPTIMAL,-0.302495326,OK,OPTIMAL,1,1
0.7,2000,0.4430339869,OK,OPTIMAL,-0.431615317,OK,OPTIMAL,1,1
0.6,2000,0.5744019172,OK,OPTIMAL,-0.562827319,OK,OPTIMAL,1,1
0.5,2000,0.7083109344,OK,OPTIMAL,-0.702096139,OK,OPTIMAL,1,1
0.4,2000,0.8548956129,OK,OPTIMAL,-0.856719652,OK,OPTIMAL,1,1
0.3,2000,1.0251794656,OK,OPTIMAL,-1.031128407,OK,OPTIMAL,1,1
0.2,2000,1.24294009,OK,OPTIMAL,-1.25498328,OK,OPTIMAL,1,1
0.1,2000,1.5751374955,OK,OPTIMAL,-1.595758979,OK,OPTIMAL,1,1
1,2000,0.003109411,OK,BEST_FE,0.003109411,OK,OPTIMAL,1,2
0.9,2000,0.3074226259,OK,BEST_FE,-0.286617729,OK,BEST_FE,1,2
0.8,2000,0.4555705699,OK,BEST_FE,-0.431047518,OK,OPTIMAL,1,2
0.7,2000,0.5821561791,OK,OPTIMAL,-0.562680736,OK,OPTIMAL,1,2
0.6,2000,0.6216571118,OK,OPTIMAL,-0.555953,OK,BEST_FE,1,2
0.5,2000,0.8559648514,OK,BEST_FE,-0.763843145,OK,BEST_FE,1,2
0.4,2000,0.9901385306,OK,OPTIMAL,-0.914111241,OK,BEST_FE,1,2
0.3,2000,1.9205341225,OK,BEST_FE,-1.588645869,OK,BEST_FE,1,2
0.2,2000,2.0478805987,OK,BEST_FE,-1.71388372,OK,BEST_FE,1,2
0.1,2000,2.6230161557,OK,BEST_FE,-2.153471737,OK,BEST_FE,1,2
1,2000,0.003109411,OK,BEST_FE,0.003109411,OK,OPTIMAL,1,3
0.9,2000,0.1755713621,OK,OPTIMAL,-0.166412985,OK,OPTIMAL,1,3
0.8,2000,0.3132889716,OK,OPTIMAL,-0.302495013,OK,OPTIMAL,1,3
0.7,2000,0.4430344653,OK,OPTIMAL,-0.431611081,OK,OPTIMAL,1,3
0.6,2000,0.5744021755,OK,OPTIMAL,-0.562826818,OK,OPTIMAL,1,3
0.5,2000,0.7081502227,OK,OPTIMAL,-0.701917244,OK,OPTIMAL,1,3
0.4,2000,0.8549053239,OK,OPTIMAL,-0.856738369,OK,OPTIMAL,1,3
0.3,2000,1.0251796404,OK,OPTIMAL,-1.031127012,OK,OPTIMAL,1,3
0.2,2000,1.2429377952,OK,OPTIMAL,-1.254982113,OK,OPTIMAL,1,3
0.1,2000,1.5751372299,OK,OPTIMAL,-1.595758891,OK,OPTIMAL,1,3
