p,k,maxb,status1,solstatus1,minb,status2,solstatus2,group,as
1,20000,0.0040880113,OK,OPTIMAL,0.004088011,OK,BEST_FE,1,1
0.9,20000,0.1208468589,OK,OPTIMAL,-0.112042264,OK,OPTIMAL,1,1
0.8,20000,0.2361862645,OK,OPTIMAL,-0.227545043,OK,OPTIMAL,1,1
0.7,20000,0.341174783,OK,OPTIMAL,-0.332591729,OK,OPTIMAL,1,1
0.6,20000,0.4575322712,OK,OPTIMAL,-0.449428916,OK,OPTIMAL,1,1
0.5,20000,0.5679559293,OK,OPTIMAL,-0.559434673,OK,OPTIMAL,1,1
0.4,20000,0.698879452,OK,OPTIMAL,-0.690592226,OK,OPTIMAL,1,1
0.3,20000,0.8408677258,OK,OPTIMAL,-0.832413524,OK,OPTIMAL,1,1
0.2,20000,1.0230220697,OK,OPTIMAL,-1.016365787,OK,OPTIMAL,1,1
0.1,20000,1.2885409277,OK,OPTIMAL,-1.286804828,OK,OPTIMAL,1,1
1,20000,0.0040880113,OK,OPTIMAL,0.0040880112,OK,BEST_FE,1,2
0.9,20000,0.1207050838,OK,OPTIMAL,-0.111867735,OK,OPTIMAL,1,2
0.8,20000,0.2362115349,OK,OPTIMAL,-0.227574748,OK,OPTIMAL,1,2
0.7,20000,0.3412654332,OK,OPTIMAL,-0.332994741,OK,OPTIMAL,1,2
0.6,20000,0.4575291767,OK,OPTIMAL,-0.449425163,OK,OPTIMAL,1,2
0.5,20000,0.5677255845,OK,OPTIMAL,-0.559731303,OK,OPTIMAL,1,2
0.4,20000,0.6988783578,OK,OPTIMAL,-0.690590468,OK,OPTIMAL,1,2
0.3,20000,0.8406857595,OK,OPTIMAL,-0.832439494,OK,OPTIMAL,1,2
0.2,20000,1.0230281352,OK,OPTIMAL,-1.016365461,OK,OPTIMAL,1,2
0.1,20000,1.2885416334,OK,OPTIMAL,-1.286805256,OK,OPTIMAL,1,2
1,20000,0.0040880113,OK,OPTIMAL,0.0040880111,OK,BEST_FE,1,3
0.9,20000,0.1208365927,OK,OPTIMAL,-0.112051037,OK,OPTIMAL,1,3
0.8,20000,0.2361775652,OK,OPTIMAL,-0.227538553,OK,OPTIMAL,1,3
0.7,20000,0.3411572247,OK,OPTIMAL,-0.332864224,OK,OPTIMAL,1,3
0.6,20000,0.4575293193,OK,OPTIMAL,-0.449425397,OK,OPTIMAL,1,3
0.5,20000,0.5679557317,OK,OPTIMAL,-0.5597957,OK,OPTIMAL,1,3
0.4,20000,0.6988803414,OK,OPTIMAL,-0.690593457,OK,OPTIMAL,1,3
0.3,20000,0.8408697478,OK,OPTIMAL,-0.832414171,OK,OPTIMAL,1,3
0.2,20000,1.0230220746,OK,OPTIMAL,-1.016365762,OK,OPTIMAL,1,3
0.1,20000,1.2885409284,OK,OPTIMAL,-1.286804789,OK,OPTIMAL,1,3
