p,k,maxb,status1,solstatus1,minb,status2,solstatus2,group,as
1,2000,0.008581018,OK,BEST_FE,0.008581018,OK,OPTIMAL,1,1
0.9,2000,0.1800443073,OK,OPTIMAL,-0.164787556,OK,OPTIMAL,1,1
0.8,2000,0.3238578056,OK,OPTIMAL,-0.308773884,OK,OPTIMAL,1,1
0.7,2000,0.4611199372,OK,OPTIMAL,-0.444336226,OK,OPTIMAL,1,1
0.6,2000,0.6015135961,OK,OPTIMAL,-0.582558842,OK,OPTIMAL,1,1
0.5,2000,0.7438661432,OK,OPTIMAL,-0.726705806,OK,OPTIMAL,1,1
0.4,2000,0.898192633,OK,OPTIMAL,-0.883731986,OK,OPTIMAL,1,1
0.3,2000,1.0731305312,OK,OPTIMAL,-1.05505913,OK,OPTIMAL,1,1
0.2,2000,1.2954728972,OK,OPTIMAL,-1.270020966,OK,OPTIMAL,1,1
0.1,2000,1.6156275437,OK,OPTIMAL,-1.58129836,OK,OPTIMAL,1,1
1,2000,-0.028692195,OK,BEST_FE,-0.028692195,OK,BEST_FE,2,1
0.9,2000,0.1418405028,OK,OPTIMAL,-0.20612103,OK,OPTIMAL,2,1
0.8,2000,0.2803954572,OK,OPTIMAL,-0.349357432,OK,OPTIMAL,2,1
0.7,2000,0.4130003545,OK,OPTIMAL,-0.478356865,OK,OPTIMAL,2,1
0.6,2000,0.5454212172,OK,OPTIMAL,-0.607734921,OK,OPTIMAL,2,1
0.5,2000,0.6857751618,OK,OPTIMAL,-0.74329761,OK,OPTIMAL,2,1
0.4,2000,0.8427339953,OK,OPTIMAL,-0.892741062,OK,OPTIMAL,2,1
0.3,2000,1.0282409484,OK,OPTIMAL,-1.067032266,OK,OPTIMAL,2,1
0.2,2000,1.2715158561,OK,OPTIMAL,-1.282512159,OK,OPTIMAL,2,1
0.1,2000,1.6149247455,OK,OPTIMAL,-1.609992401,OK,OPTIMAL,2,1
1,2000,-0.003431402,OK,BEST_FE,-0.003431402,OK,BEST_FE,3,1
0.9,2000,0.1634938094,OK,OPTIMAL,-0.174618958,OK,OPTIMAL,3,1
0.8,2000,0.2981519565,OK,OPTIMAL,-0.312755295,OK,OPTIMAL,3,1
0.7,2000,0.4292258276,OK,OPTIMAL,-0.442205506,OK,OPTIMAL,3,1
0.6,2000,0.5624634333,OK,OPTIMAL,-0.569867702,OK,OPTIMAL,3,1
0.5,2000,0.6985564055,OK,OPTIMAL,-0.705629133,OK,OPTIMAL,3,1
0.4,2000,0.8490741289,OK,OPTIMAL,-0.855167841,OK,OPTIMAL,3,1
0.3,2000,1.0281096035,OK,OPTIMAL,-1.020698726,OK,OPTIMAL,3,1
0.2,2000,1.2513243872,OK,OPTIMAL,-1.227179975,OK,OPTIMAL,3,1
0.1,2000,1.5838950484,OK,OPTIMAL,-1.552384634,OK,OPTIMAL,3,1
1,2000,0.0088679367,OK,BEST_FE,0.0088679367,OK,OPTIMAL,4,1
0.9,2000,0.1739952967,OK,OPTIMAL,-0.161203397,OK,OPTIMAL,4,1
0.8,2000,0.314594626,OK,OPTIMAL,-0.302894768,OK,OPTIMAL,4,1
0.7,2000,0.4487343071,OK,OPTIMAL,-0.437317441,OK,OPTIMAL,4,1
0.6,2000,0.5823289947,OK,OPTIMAL,-0.568791875,OK,OPTIMAL,4,1
0.5,2000,0.7228464544,OK,OPTIMAL,-0.704881011,OK,OPTIMAL,4,1
0.4,2000,0.8782742195,OK,OPTIMAL,-0.854219904,OK,OPTIMAL,4,1
0.3,2000,1.05772436,OK,OPTIMAL,-1.025287762,OK,OPTIMAL,4,1
0.2,2000,1.2733925787,OK,OPTIMAL,-1.231459065,OK,OPTIMAL,4,1
0.1,2000,1.5861449971,OK,OPTIMAL,-1.523731891,OK,OPTIMAL,4,1
1,2000,-0.02423713,OK,BEST_FE,-0.02423713,OK,BEST_FE,5,1
0.9,2000,0.1484886388,OK,OPTIMAL,-0.197216208,OK,OPTIMAL,5,1
0.8,2000,0.2881004498,OK,OPTIMAL,-0.338367208,OK,OPTIMAL,5,1
0.7,2000,0.4207192131,OK,OPTIMAL,-0.470777067,OK,OPTIMAL,5,1
0.6,2000,0.5545628984,OK,OPTIMAL,-0.602032312,OK,OPTIMAL,5,1
0.5,2000,0.6930565165,OK,OPTIMAL,-0.741698893,OK,OPTIMAL,5,1
0.4,2000,0.8453471998,OK,OPTIMAL,-0.895317562,OK,OPTIMAL,5,1
0.3,2000,1.0254554231,OK,OPTIMAL,-1.070223384,OK,OPTIMAL,5,1
0.2,2000,1.2497318521,OK,OPTIMAL,-1.291056358,OK,OPTIMAL,5,1
0.1,2000,1.579225125,OK,OPTIMAL,-1.625341068,OK,OPTIMAL,5,1
1,2000,-0.021159629,OK,BEST_FE,-0.021159629,OK,BEST_FE,6,1
0.9,2000,0.1515815244,OK,OPTIMAL,-0.187708288,OK,OPTIMAL,6,1
0.8,2000,0.2924028198,OK,OPTIMAL,-0.327260809,OK,OPTIMAL,6,1
0.7,2000,0.4274321403,OK,OPTIMAL,-0.462600955,OK,OPTIMAL,6,1
0.6,2000,0.5629300712,OK,OPTIMAL,-0.599458817,OK,OPTIMAL,6,1
0.5,2000,0.702583418,OK,OPTIMAL,-0.745023181,OK,OPTIMAL,6,1
0.4,2000,0.8491626276,OK,OPTIMAL,-0.900178939,OK,OPTIMAL,6,1
0.3,2000,1.0166085739,OK,OPTIMAL,-1.075553174,OK,OPTIMAL,6,1
0.2,2000,1.2206891528,OK,OPTIMAL,-1.292878452,OK,OPTIMAL,6,1
0.1,2000,1.5242651186,OK,OPTIMAL,-1.622394049,OK,OPTIMAL,6,1
1,2000,-0.012000559,OK,BEST_FE,-0.012000559,OK,BEST_FE,7,1
0.9,2000,0.153994324,OK,OPTIMAL,-0.182206319,OK,OPTIMAL,7,1
0.8,2000,0.2899756571,OK,OPTIMAL,-0.319442256,OK,OPTIMAL,7,1
0.7,2000,0.4217484636,OK,OPTIMAL,-0.452197571,OK,OPTIMAL,7,1
0.6,2000,0.5575785285,OK,OPTIMAL,-0.585690768,OK,OPTIMAL,7,1
0.5,2000,0.6992312053,OK,OPTIMAL,-0.723228803,OK,OPTIMAL,7,1
0.4,2000,0.8514091453,OK,OPTIMAL,-0.869248756,OK,OPTIMAL,7,1
0.3,2000,1.0228612642,OK,OPTIMAL,-1.032073706,OK,OPTIMAL,7,1
0.2,2000,1.2351932863,OK,OPTIMAL,-1.237303419,OK,OPTIMAL,7,1
0.1,2000,1.566517803,OK,OPTIMAL,-1.552749468,OK,OPTIMAL,7,1
