p,k,maxb,status1,solstatus1,minb,status2,solstatus2,group,as
1,2000,0.008581018,OK,OPTIMAL,0.008581018,OK,BEST_FE,1,1
0.9,2000,0.1800442212,OK,OPTIMAL,-0.164787495,OK,OPTIMAL,1,1
0.8,2000,0.3238493061,OK,OPTIMAL,-0.308773161,OK,OPTIMAL,1,1
0.7,2000,0.4609631746,OK,OPTIMAL,-0.444335778,OK,OPTIMAL,1,1
0.6,2000,0.6015133861,OK,OPTIMAL,-0.582558706,OK,OPTIMAL,1,1
0.5,2000,0.743688571,OK,OPTIMAL,-0.726701659,OK,OPTIMAL,1,1
0.4,2000,0.8981927422,OK,OPTIMAL,-0.883730815,OK,OPTIMAL,1,1
0.3,2000,1.0731187184,OK,OPTIMAL,-1.055056158,OK,OPTIMAL,1,1
0.2,2000,1.2954737901,OK,OPTIMAL,-1.270019803,OK,OPTIMAL,1,1
0.1,2000,1.6156275356,OK,OPTIMAL,-1.581298547,OK,OPTIMAL,1,1
1,2000,-0.028692195,OK,BEST_FE,-0.028692195,OK,OPTIMAL,2,1
0.9,2000,0.141840261,OK,OPTIMAL,-0.206120954,OK,OPTIMAL,2,1
0.8,2000,0.2803953939,OK,OPTIMAL,-0.349357505,OK,OPTIMAL,2,1
0.7,2000,0.4129995375,OK,OPTIMAL,-0.478356957,OK,OPTIMAL,2,1
0.6,2000,0.5454227408,OK,OPTIMAL,-0.60773428,OK,OPTIMAL,2,1
0.5,2000,0.6857702977,OK,OPTIMAL,-0.743292327,OK,OPTIMAL,2,1
0.4,2000,0.8427449443,OK,OPTIMAL,-0.892761315,OK,OPTIMAL,2,1
0.3,2000,1.0282381267,OK,OPTIMAL,-1.06703475,OK,OPTIMAL,2,1
0.2,2000,1.2715157949,OK,OPTIMAL,-1.282512342,OK,OPTIMAL,2,1
0.1,2000,1.6149250124,OK,OPTIMAL,-1.609992374,OK,OPTIMAL,2,1
1,2000,-0.003431402,OK,BEST_FE,-0.003431402,OK,OPTIMAL,3,1
0.9,2000,0.1634937351,OK,OPTIMAL,-0.17461889,OK,OPTIMAL,3,1
0.8,2000,0.2981505711,OK,OPTIMAL,-0.312755639,OK,OPTIMAL,3,1
0.7,2000,0.4291977178,OK,OPTIMAL,-0.44220524,OK,OPTIMAL,3,1
0.6,2000,0.5624641418,OK,OPTIMAL,-0.569868149,OK,OPTIMAL,3,1
0.5,2000,0.6985614437,OK,OPTIMAL,-0.705359513,OK,OPTIMAL,3,1
0.4,2000,0.8490933286,OK,OPTIMAL,-0.855174537,OK,OPTIMAL,3,1
0.3,2000,1.028108881,OK,OPTIMAL,-1.020698302,OK,OPTIMAL,3,1
0.2,2000,1.2513234871,OK,OPTIMAL,-1.227180133,OK,OPTIMAL,3,1
0.1,2000,1.5838949797,OK,OPTIMAL,-1.552384588,OK,OPTIMAL,3,1
1,2000,0.0088679367,OK,OPTIMAL,0.0088679367,OK,BEST_FE,4,1
