p,k,maxb,status1,solstatus1,minb,status2,solstatus2,group,as
1,1000,0.0216326457,OK,BEST_FE,0.0216326457,OK,BEST_FE,1,1
0.9,1000,0.1696357315,OK,OPTIMAL,-0.123880457,OK,OPTIMAL,1,1
0.8,1000,0.2873980189,OK,OPTIMAL,-0.242034639,OK,OPTIMAL,1,1
0.7,1000,0.4024468335,OK,OPTIMAL,-0.35369974,OK,OPTIMAL,1,1
0.6,1000,0.5148832229,OK,OPTIMAL,-0.467689427,OK,OPTIMAL,1,1
0.5,1000,0.6299061605,OK,OPTIMAL,-0.586640183,OK,OPTIMAL,1,1
0.4,1000,0.7565110598,OK,OPTIMAL,-0.719137373,OK,OPTIMAL,1,1
0.3,1000,0.8997939004,OK,OPTIMAL,-0.86932334,OK,OPTIMAL,1,1
0.2,1000,1.0816760696,OK,OPTIMAL,-1.046802261,OK,OPTIMAL,1,1
0.1,1000,1.34563619,OK,OPTIMAL,-1.324725147,OK,OPTIMAL,1,1
1,1000,-0.015430467,OK,BEST_FE,-0.015430467,OK,BEST_FE,2,1
0.9,1000,0.1301146115,OK,OPTIMAL,-0.16728839,OK,OPTIMAL,2,1
0.8,1000,0.2455502005,OK,OPTIMAL,-0.285628325,OK,OPTIMAL,2,1
0.7,1000,0.3556976452,OK,OPTIMAL,-0.390718148,OK,OPTIMAL,2,1
0.6,1000,0.46507486,OK,OPTIMAL,-0.497823894,OK,OPTIMAL,2,1
0.5,1000,0.5795028638,OK,OPTIMAL,-0.610363329,OK,OPTIMAL,2,1
0.4,1000,0.7090554779,OK,OPTIMAL,-0.737079059,OK,OPTIMAL,2,1
0.3,1000,0.8626387886,OK,OPTIMAL,-0.883785464,OK,OPTIMAL,2,1
0.2,1000,1.0707418616,OK,OPTIMAL,-1.064766312,OK,OPTIMAL,2,1
0.1,1000,1.3656706293,OK,OPTIMAL,-1.33971447,OK,OPTIMAL,2,1
1,1000,0.0050252472,OK,OPTIMAL,0.0050252472,OK,BEST_FE,3,1
0.9,1000,0.1462723672,OK,OPTIMAL,-0.140623974,OK,OPTIMAL,3,1
0.8,1000,0.2574213877,OK,OPTIMAL,-0.252865249,OK,OPTIMAL,3,1
0.7,1000,0.3676851808,OK,OPTIMAL,-0.359151619,OK,OPTIMAL,3,1
0.6,1000,0.4780068247,OK,OPTIMAL,-0.465350257,OK,OPTIMAL,3,1
0.5,1000,0.590285302,OK,OPTIMAL,-0.580232868,OK,OPTIMAL,3,1
0.4,1000,0.711488843,OK,OPTIMAL,-0.705342648,OK,OPTIMAL,3,1
0.3,1000,0.8571536295,OK,OPTIMAL,-0.843573017,OK,OPTIMAL,3,1
0.2,1000,1.041951826,OK,OPTIMAL,-1.009932699,OK,OPTIMAL,3,1
0.1,1000,1.3302097064,OK,OPTIMAL,-1.280591814,OK,OPTIMAL,3,1
1,1000,0.010701508,OK,OPTIMAL,0.010701508,OK,BEST_FE,4,1
0.9,1000,0.1452366469,OK,OPTIMAL,-0.133368498,OK,OPTIMAL,4,1
0.8,1000,0.261225934,OK,OPTIMAL,-0.249543881,OK,OPTIMAL,4,1
0.7,1000,0.3730608392,OK,OPTIMAL,-0.35884822,OK,OPTIMAL,4,1
0.6,1000,0.4848434205,OK,OPTIMAL,-0.465880186,OK,OPTIMAL,4,1
0.5,1000,0.6006384962,OK,OPTIMAL,-0.579214753,OK,OPTIMAL,4,1
0.4,1000,0.7264673852,OK,OPTIMAL,-0.701406848,OK,OPTIMAL,4,1
0.3,1000,0.8753722598,OK,OPTIMAL,-0.837196783,OK,OPTIMAL,4,1
