p,k,maxb,status1,solstatus1,minb,status2,solstatus2,group,as
1,2000,0.0385494524,OK,BEST_FE,0.0385494524,OK,OPTIMAL,1,1
0.9,2000,0.2114341327,OK,OPTIMAL,-0.134972511,OK,OPTIMAL,1,1
0.8,2000,0.352567098,OK,OPTIMAL,-0.270210246,OK,OPTIMAL,1,1
0.7,2000,0.4844871275,OK,OPTIMAL,-0.403911674,OK,OPTIMAL,1,1
0.6,2000,0.6180388774,OK,OPTIMAL,-0.540076533,OK,OPTIMAL,1,1
0.5,2000,0.7587489548,OK,OPTIMAL,-0.681743927,OK,OPTIMAL,1,1
0.4,2000,0.9093692592,OK,OPTIMAL,-0.833565467,OK,OPTIMAL,1,1
0.3,2000,1.0787054148,OK,OPTIMAL,-1.00970722,OK,OPTIMAL,1,1
0.2,2000,1.290983963,OK,OPTIMAL,-1.23500331,OK,OPTIMAL,1,1
0.1,2000,1.6464280233,OK,OPTIMAL,-1.564031625,OK,OPTIMAL,1,1
1,2000,0.0385494524,OK,BEST_FE,0.0385494524,OK,OPTIMAL,1,2
0.9,2000,0.3587524116,OK,BEST_FE,-0.274117903,OK,BEST_FE,1,2
0.8,2000,0.5097337771,OK,BEST_FE,-0.416769518,OK,BEST_FE,1,2
0.7,2000,0.5467256134,OK,BEST_FE,-0.464497242,OK,BEST_FE,1,2
0.6,2000,0.6737328351,OK,BEST_FE,-0.594156286,OK,BEST_FE,1,2
0.5,2000,0.802891047,OK,OPTIMAL,-0.725220021,OK,OPTIMAL,1,2
0.4,2000,1.064048003,OK,BEST_FE,-0.867825931,OK,OPTIMAL,1,2
0.3,2000,2.0216545207,OK,BEST_FE,-1.028988089,OK,OPTIMAL,1,2
0.2,2000,2.1531394371,OK,BEST_FE,-1.240391443,OK,OPTIMAL,1,2
0.1,2000,2.7488530628,OK,BEST_FE,-1.54471126,OK,OPTIMAL,1,2
1,2000,0.0385494524,OK,BEST_FE,0.0385494524,OK,OPTIMAL,1,3
0.9,2000,0.2114340871,OK,OPTIMAL,-0.134972633,OK,OPTIMAL,1,3
0.8,2000,0.3525674702,OK,OPTIMAL,-0.270210713,OK,OPTIMAL,1,3
0.7,2000,0.4844403794,OK,OPTIMAL,-0.403881063,OK,OPTIMAL,1,3
0.6,2000,0.6180404534,OK,OPTIMAL,-0.540076609,OK,OPTIMAL,1,3
0.5,2000,0.7587368361,OK,OPTIMAL,-0.681632876,OK,OPTIMAL,1,3
0.4,2000,0.9093754239,OK,BEST_FE,-0.833568115,OK,OPTIMAL,1,3
0.3,2000,1.0787056662,OK,BEST_FE,-1.009707029,OK,OPTIMAL,1,3
0.2,2000,1.2909834718,OK,OPTIMAL,-1.235002989,OK,OPTIMAL,1,3
0.1,2000,1.6464284133,OK,OPTIMAL,-1.56403195,OK,OPTIMAL,1,3
