p,k,maxb,status1,solstatus1,minb,status2,solstatus2,group,as
1,20000,-0.005104861,OK,BEST_FE,-0.005104861,OK,OPTIMAL,1,1
0.9,20000,0.121763299,OK,OPTIMAL,-0.132937527,OK,OPTIMAL,1,1
0.8,20000,0.2596784747,OK,OPTIMAL,-0.270250746,OK,OPTIMAL,1,1
0.7,20000,0.3830455864,OK,OPTIMAL,-0.392696134,OK,OPTIMAL,1,1
0.6,20000,0.5288617942,OK,OPTIMAL,-0.537622561,OK,OPTIMAL,1,1
0.5,20000,0.6558143115,OK,OPTIMAL,-0.666157429,OK,OPTIMAL,1,1
0.4,20000,0.8169698208,OK,OPTIMAL,-0.829426152,OK,OPTIMAL,1,1
0.3,20000,0.9841279017,OK,OPTIMAL,-0.996478101,OK,OPTIMAL,1,1
0.2,20000,1.2047486094,OK,OPTIMAL,-1.212098268,OK,OPTIMAL,1,1
0.1,20000,1.5246865174,OK,OPTIMAL,-1.53121164,OK,OPTIMAL,1,1
1,20000,-0.006514814,OK,BEST_FE,-0.006514814,OK,OPTIMAL,2,1
0.9,20000,0.1207231193,OK,OPTIMAL,-0.134745151,OK,OPTIMAL,2,1
0.8,20000,0.2582476955,OK,OPTIMAL,-0.27200715,OK,OPTIMAL,2,1
0.7,20000,0.3806776058,OK,OPTIMAL,-0.393041161,OK,OPTIMAL,2,1
0.6,20000,0.5235843013,OK,OPTIMAL,-0.535833875,OK,OPTIMAL,2,1
0.5,20000,0.6491056282,OK,OPTIMAL,-0.662236171,OK,OPTIMAL,2,1
0.4,20000,0.8106533725,OK,OPTIMAL,-0.824871702,OK,OPTIMAL,2,1
0.3,20000,0.9802220054,OK,OPTIMAL,-0.998222025,OK,OPTIMAL,2,1
0.2,20000,1.2041900875,OK,OPTIMAL,-1.215229738,OK,OPTIMAL,2,1
0.1,20000,1.5327285894,OK,OPTIMAL,-1.530266484,OK,OPTIMAL,2,1
1,20000,0.007444203,OK,OPTIMAL,0.007444203,OK,BEST_FE,3,1
0.9,20000,0.1333656189,OK,OPTIMAL,-0.120623367,OK,BEST_FE,3,1
0.8,20000,0.270551941,OK,OPTIMAL,-0.259247065,OK,OPTIMAL,3,1
0.7,20000,0.3930345314,OK,OPTIMAL,-0.381609918,OK,OPTIMAL,3,1
0.6,20000,0.5375172094,OK,OPTIMAL,-0.524390855,OK,OPTIMAL,3,1
0.5,20000,0.6648953214,OK,OPTIMAL,-0.649771686,OK,OPTIMAL,3,1
0.4,20000,0.828322128,OK,OPTIMAL,-0.81084777,OK,OPTIMAL,3,1
0.3,20000,0.9999667698,OK,OPTIMAL,-0.977886856,OK,OPTIMAL,3,1
0.2,20000,1.2237435937,OK,OPTIMAL,-1.193111984,OK,OPTIMAL,3,1
0.1,20000,1.5446801292,OK,OPTIMAL,-1.509038702,OK,OPTIMAL,3,1
1,20000,0.0035506795,OK,OPTIMAL,0.0035506795,OK,BEST_FE,4,1
0.9,20000,0.1305718359,OK,OPTIMAL,-0.122977508,OK,OPTIMAL,4,1
0.8,20000,0.2695725155,OK,OPTIMAL,-0.260345476,OK,OPTIMAL,4,1
0.7,20000,0.3927513736,OK,OPTIMAL,-0.382714709,OK,OPTIMAL,4,1
0.6,20000,0.5363743511,OK,OPTIMAL,-0.526861554,OK,OPTIMAL,4,1
0.5,20000,0.6619043406,OK,OPTIMAL,-0.655138059,OK,OPTIMAL,4,1
0.4,20000,0.8223820733,OK,OPTIMAL,-0.818873025,OK,OPTIMAL,4,1
0.3,20000,0.9897471093,OK,OPTIMAL,-0.989338656,OK,OPTIMAL,4,1
0.2,20000,1.2077162289,OK,OPTIMAL,-1.209308622,OK,OPTIMAL,4,1
0.1,20000,1.5236131103,OK,OPTIMAL,-1.521134149,OK,OPTIMAL,4,1
1,20000,0.0065200429,OK,OPTIMAL,0.0065200429,OK,BEST_FE,5,1
0.9,20000,0.131221165,OK,OPTIMAL,-0.118909353,OK,OPTIMAL,5,1
0.8,20000,0.2671514139,OK,OPTIMAL,-0.254928723,OK,OPTIMAL,5,1
0.7,20000,0.3891122931,OK,OPTIMAL,-0.376315958,OK,OPTIMAL,5,1
0.6,20000,0.5326353046,OK,OPTIMAL,-0.519314317,OK,OPTIMAL,5,1
0.5,20000,0.6581635859,OK,OPTIMAL,-0.645138566,OK,OPTIMAL,5,1
0.4,20000,0.8184768846,OK,OPTIMAL,-0.805893205,OK,OPTIMAL,5,1
0.3,20000,0.9855186877,OK,OPTIMAL,-0.971798794,OK,OPTIMAL,5,1
0.2,20000,1.2011637806,OK,OPTIMAL,-1.185275154,OK,OPTIMAL,5,1
0.1,20000,1.5184590314,OK,OPTIMAL,-1.493366252,OK,OPTIMAL,5,1
1,20000,-0.007299319,OK,BEST_FE,-0.007299319,OK,OPTIMAL,6,1
0.9,20000,0.1215916058,OK,OPTIMAL,-0.134053053,OK,OPTIMAL,6,1
0.8,20000,0.2600107487,OK,OPTIMAL,-0.270579376,OK,OPTIMAL,6,1
0.7,20000,0.3828327432,OK,OPTIMAL,-0.391946489,OK,OPTIMAL,6,1
0.6,20000,0.5259214836,OK,OPTIMAL,-0.536358237,OK,OPTIMAL,6,1
0.5,20000,0.6502450644,OK,OPTIMAL,-0.665280372,OK,OPTIMAL,6,1
0.4,20000,0.8095663287,OK,OPTIMAL,-0.830345831,OK,OPTIMAL,6,1
0.3,20000,0.9744797932,OK,OPTIMAL,-1.002659913,OK,OPTIMAL,6,1
0.2,20000,1.194739391,OK,OPTIMAL,-1.22529886,OK,OPTIMAL,6,1
0.1,20000,1.5124477084,OK,OPTIMAL,-1.54664649,OK,OPTIMAL,6,1
1,20000,-0.004656847,OK,BEST_FE,-0.004656847,OK,OPTIMAL,7,1
0.9,20000,0.1239854241,OK,OPTIMAL,-0.133719726,OK,OPTIMAL,7,1
0.8,20000,0.2633049363,OK,OPTIMAL,-0.271682742,OK,OPTIMAL,7,1
0.7,20000,0.3874778801,OK,OPTIMAL,-0.39782903,OK,OPTIMAL,7,1
0.6,20000,0.5332682523,OK,OPTIMAL,-0.542394796,OK,OPTIMAL,7,1
0.5,20000,0.6616166524,OK,OPTIMAL,-0.670923664,OK,OPTIMAL,7,1
0.4,20000,0.8251352217,OK,OPTIMAL,-0.834805347,OK,OPTIMAL,7,1
0.3,20000,0.9968640503,OK,OPTIMAL,-1.005230792,OK,OPTIMAL,7,1
0.2,20000,1.2198350093,OK,OPTIMAL,-1.225421135,OK,OPTIMAL,7,1
0.1,20000,1.5357699103,OK,OPTIMAL,-1.546640357,OK,OPTIMAL,7,1
1,20000,0.0002780008,OK,OPTIMAL,0.0002780008,OK,BEST_FE,8,1
0.9,20000,0.1252553362,OK,OPTIMAL,-0.125335984,OK,OPTIMAL,8,1
0.8,20000,0.2622770932,OK,OPTIMAL,-0.260716491,OK,OPTIMAL,8,1
0.7,20000,0.3830091118,OK,OPTIMAL,-0.381337918,OK,OPTIMAL,8,1
0.6,20000,0.5262792656,OK,OPTIMAL,-0.524666532,OK,OPTIMAL,8,1
0.5,20000,0.6512377908,OK,OPTIMAL,-0.650859734,OK,OPTIMAL,8,1
0.4,20000,0.8109057536,OK,OPTIMAL,-0.812001307,OK,OPTIMAL,8,1
0.3,20000,0.9756655453,OK,OPTIMAL,-0.977882403,OK,OPTIMAL,8,1
0.2,20000,1.1927032461,OK,OPTIMAL,-1.195745695,OK,OPTIMAL,8,1
0.1,20000,1.5092745744,OK,OPTIMAL,-1.509635706,OK,OPTIMAL,8,1
1,20000,0.0095404242,OK,OPTIMAL,0.0095404242,OK,BEST_FE,9,1
0.9,20000,0.1362037302,OK,OPTIMAL,-0.11775391,OK,OPTIMAL,9,1
