p,k,maxb,status1,solstatus1,minb,status2,solstatus2,group,as
1,2000,0.0311953639,OK,OPTIMAL,0.03119536,OK,BEST_FE,1,1
0.9,2000,0.177386567,OK,OPTIMAL,-0.115223392,OK,OPTIMAL,1,1
0.8,2000,0.2966459884,OK,OPTIMAL,-0.229038809,OK,OPTIMAL,1,1
0.7,2000,0.4075432124,OK,OPTIMAL,-0.340631156,OK,OPTIMAL,1,1
0.6,2000,0.5186621957,OK,OPTIMAL,-0.454773198,OK,OPTIMAL,1,1
0.5,2000,0.636659627,OK,OPTIMAL,-0.574312676,OK,OPTIMAL,1,1
0.4,2000,0.7619015811,OK,OPTIMAL,-0.701768691,OK,OPTIMAL,1,1
0.3,2000,0.9035666445,OK,OPTIMAL,-0.851675617,OK,OPTIMAL,1,1
0.2,2000,1.0827204941,OK,OPTIMAL,-1.04125687,OK,OPTIMAL,1,1
0.1,2000,1.3772337064,OK,OPTIMAL,-1.312929601,OK,OPTIMAL,1,1
1,2000,0.0311953639,OK,BEST_FE,0.03119536,OK,BEST_FE,1,2
0.9,2000,0.1773863302,OK,OPTIMAL,-0.115222159,OK,OPTIMAL,1,2
0.8,2000,0.2966460352,OK,OPTIMAL,-0.229038822,OK,OPTIMAL,1,2
0.7,2000,0.4075466958,OK,OPTIMAL,-0.340633863,OK,OPTIMAL,1,2
0.6,2000,0.5186641596,OK,OPTIMAL,-0.454775357,OK,OPTIMAL,1,2
0.5,2000,0.6366997784,OK,OPTIMAL,-0.574258835,OK,OPTIMAL,1,2
0.4,2000,0.7619061702,OK,OPTIMAL,-0.701770458,OK,OPTIMAL,1,2
0.3,2000,0.9035746654,OK,OPTIMAL,-0.851674759,OK,OPTIMAL,1,2
0.2,2000,1.0827251468,OK,OPTIMAL,-1.041256259,OK,OPTIMAL,1,2
0.1,2000,1.377233873,OK,OPTIMAL,-1.312929709,OK,OPTIMAL,1,2
1,2000,0.0311953639,OK,OPTIMAL,0.03119536,OK,BEST_FE,1,3
0.9,2000,0.1773865391,OK,OPTIMAL,-0.115223487,OK,OPTIMAL,1,3
0.8,2000,0.2966459058,OK,OPTIMAL,-0.229038808,OK,OPTIMAL,1,3
0.7,2000,0.407544288,OK,OPTIMAL,-0.340631139,OK,OPTIMAL,1,3
0.6,2000,0.5186621617,OK,OPTIMAL,-0.454772888,OK,OPTIMAL,1,3
0.5,2000,0.636659779,OK,OPTIMAL,-0.574312788,OK,OPTIMAL,1,3
0.4,2000,0.7619015622,OK,OPTIMAL,-0.70176931,OK,OPTIMAL,1,3
0.3,2000,0.9035670571,OK,OPTIMAL,-0.851675626,OK,OPTIMAL,1,3
0.2,2000,1.0827202896,OK,OPTIMAL,-1.04125687,OK,OPTIMAL,1,3
0.1,2000,1.3772333653,OK,OPTIMAL,-1.312929603,OK,OPTIMAL,1,3
