p,k,maxb,status1,solstatus1,minb,status2,solstatus2,group,as
1,5000,-0.002529691,OK,BEST_FE,-0.002529691,OK,BEST_FE,1,1
0.9,5000,0.1595621952,OK,OPTIMAL,-0.168282467,OK,OPTIMAL,1,1
0.8,5000,0.3039621667,OK,OPTIMAL,-0.312084059,OK,OPTIMAL,1,1
0.7,5000,0.4418701758,OK,OPTIMAL,-0.446810662,OK,OPTIMAL,1,1
0.6,5000,0.5820909962,OK,OPTIMAL,-0.585536123,OK,OPTIMAL,1,1
0.5,5000,0.7246312456,OK,OPTIMAL,-0.729496387,OK,OPTIMAL,1,1
0.4,5000,0.878830039,OK,OPTIMAL,-0.886334181,OK,OPTIMAL,1,1
0.3,5000,1.0532736384,OK,OPTIMAL,-1.058649989,OK,OPTIMAL,1,1
0.2,5000,1.2776425209,OK,OPTIMAL,-1.270712445,OK,OPTIMAL,1,1
0.1,5000,1.6015008156,OK,OPTIMAL,-1.573729578,OK,OPTIMAL,1,1
1,5000,0.0080869056,OK,OPTIMAL,0.0080869056,OK,OPTIMAL,2,1
0.9,5000,0.1693809985,OK,OPTIMAL,-0.158893185,OK,OPTIMAL,2,1
0.8,5000,0.3093935462,OK,OPTIMAL,-0.299184828,OK,OPTIMAL,2,1
0.7,5000,0.4426143497,OK,OPTIMAL,-0.428472919,OK,OPTIMAL,2,1
0.6,5000,0.5746738036,OK,OPTIMAL,-0.560194693,OK,OPTIMAL,2,1
0.5,5000,0.7128702121,OK,OPTIMAL,-0.696864998,OK,OPTIMAL,2,1
0.4,5000,0.8673373352,OK,OPTIMAL,-0.848628565,OK,OPTIMAL,2,1
0.3,5000,1.0463923101,OK,OPTIMAL,-1.024360943,OK,OPTIMAL,2,1
0.2,5000,1.2791750708,OK,OPTIMAL,-1.239266364,OK,OPTIMAL,2,1
0.1,5000,1.6235255452,OK,OPTIMAL,-1.554849312,OK,OPTIMAL,2,1
1,5000,0.0080468525,OK,OPTIMAL,0.0080468525,OK,OPTIMAL,3,1
0.9,5000,0.1674793554,OK,OPTIMAL,-0.154239018,OK,OPTIMAL,3,1
0.8,5000,0.3056290725,OK,OPTIMAL,-0.294298385,OK,OPTIMAL,3,1
0.7,5000,0.4388838979,OK,OPTIMAL,-0.425667024,OK,OPTIMAL,3,1
0.6,5000,0.5721954879,OK,OPTIMAL,-0.557058019,OK,OPTIMAL,3,1
0.5,5000,0.7094664559,OK,OPTIMAL,-0.693248358,OK,OPTIMAL,3,1
0.4,5000,0.8625614647,OK,OPTIMAL,-0.845041673,OK,OPTIMAL,3,1
0.3,5000,1.0395655296,OK,OPTIMAL,-1.016376562,OK,OPTIMAL,3,1
0.2,5000,1.259376321,OK,OPTIMAL,-1.224127823,OK,OPTIMAL,3,1
0.1,5000,1.5802808424,OK,OPTIMAL,-1.538907766,OK,OPTIMAL,3,1
1,5000,0.0058563391,OK,OPTIMAL,0.0058563391,OK,OPTIMAL,4,1
0.9,5000,0.1626688601,OK,OPTIMAL,-0.156186657,OK,OPTIMAL,4,1
0.8,5000,0.3012495137,OK,OPTIMAL,-0.295547163,OK,OPTIMAL,4,1
0.7,5000,0.4315450667,OK,OPTIMAL,-0.42609452,OK,OPTIMAL,4,1
0.6,5000,0.5623186162,OK,OPTIMAL,-0.554485153,OK,OPTIMAL,4,1
0.5,5000,0.6993069955,OK,OPTIMAL,-0.687968786,OK,OPTIMAL,4,1
0.4,5000,0.8532191468,OK,OPTIMAL,-0.835621473,OK,OPTIMAL,4,1
0.3,5000,1.0323038843,OK,OPTIMAL,-1.00686534,OK,OPTIMAL,4,1
0.2,5000,1.2535989642,OK,OPTIMAL,-1.217577703,OK,OPTIMAL,4,1
0.1,5000,1.5766669894,OK,OPTIMAL,-1.517336991,OK,OPTIMAL,4,1
1,5000,-0.010658857,OK,BEST_FE,-0.010658857,OK,BEST_FE,5,1
0.9,5000,0.1506227303,OK,OPTIMAL,-0.172049792,OK,OPTIMAL,5,1
0.8,5000,0.2904427168,OK,OPTIMAL,-0.311989574,OK,OPTIMAL,5,1
0.7,5000,0.4232389819,OK,OPTIMAL,-0.445601773,OK,OPTIMAL,5,1
0.6,5000,0.5571850037,OK,OPTIMAL,-0.578811834,OK,OPTIMAL,5,1
0.5,5000,0.6958590293,OK,OPTIMAL,-0.71702349,OK,OPTIMAL,5,1
0.4,5000,0.8484232122,OK,OPTIMAL,-0.869264081,OK,OPTIMAL,5,1
0.3,5000,1.0235892985,OK,OPTIMAL,-1.042494267,OK,OPTIMAL,5,1
0.2,5000,1.2365529748,OK,OPTIMAL,-1.257075307,OK,OPTIMAL,5,1
0.1,5000,1.5535793945,OK,OPTIMAL,-1.574050524,OK,OPTIMAL,5,1
1,5000,-0.031888503,OK,BEST_FE,-0.031888503,OK,BEST_FE,6,1
0.9,5000,0.1330207168,OK,OPTIMAL,-0.192414829,OK,OPTIMAL,6,1
0.8,5000,0.2772010959,OK,OPTIMAL,-0.333754141,OK,OPTIMAL,6,1
0.7,5000,0.4138694948,OK,OPTIMAL,-0.467670649,OK,OPTIMAL,6,1
0.6,5000,0.5494405846,OK,OPTIMAL,-0.605777728,OK,OPTIMAL,6,1
0.5,5000,0.6878750039,OK,OPTIMAL,-0.751351555,OK,OPTIMAL,6,1
0.4,5000,0.8357572816,OK,OPTIMAL,-0.910769106,OK,OPTIMAL,6,1
0.3,5000,1.0042181278,OK,OPTIMAL,-1.091187941,OK,OPTIMAL,6,1
0.2,5000,1.2175992451,OK,OPTIMAL,-1.310312085,OK,OPTIMAL,6,1
0.1,5000,1.5251078905,OK,OPTIMAL,-1.628067159,OK,OPTIMAL,6,1
1,5000,-0.000079243,OK,OPTIMAL,-0.000079243,OK,BEST_FE,7,1
0.9,5000,0.1608956622,OK,OPTIMAL,-0.163162255,OK,OPTIMAL,7,1
0.8,5000,0.298341962,OK,OPTIMAL,-0.302381613,OK,OPTIMAL,7,1
0.7,5000,0.4306328967,OK,OPTIMAL,-0.434289833,OK,OPTIMAL,7,1
0.6,5000,0.5662233126,OK,OPTIMAL,-0.567826726,OK,OPTIMAL,7,1
0.5,5000,0.7056652644,OK,OPTIMAL,-0.705941988,OK,OPTIMAL,7,1
0.4,5000,0.85836897,OK,OPTIMAL,-0.856370735,OK,OPTIMAL,7,1
0.3,5000,1.0323237656,OK,OPTIMAL,-1.024218948,OK,OPTIMAL,7,1
0.2,5000,1.2509882098,OK,OPTIMAL,-1.235395484,OK,OPTIMAL,7,1
0.1,5000,1.5795307521,OK,OPTIMAL,-1.561670718,OK,OPTIMAL,7,1
1,5000,0.0144986179,OK,OPTIMAL,0.0144986179,OK,OPTIMAL,8,1
0.9,5000,0.1756041298,OK,OPTIMAL,-0.147940418,OK,OPTIMAL,8,1
0.8,5000,0.3144462676,OK,OPTIMAL,-0.287134784,OK,OPTIMAL,8,1
0.7,5000,0.4468452549,OK,OPTIMAL,-0.418448175,OK,OPTIMAL,8,1
0.6,5000,0.5806303956,OK,OPTIMAL,-0.552028363,OK,OPTIMAL,8,1
0.5,5000,0.7183310668,OK,OPTIMAL,-0.68944063,OK,OPTIMAL,8,1
0.4,5000,0.8711442359,OK,OPTIMAL,-0.841551168,OK,OPTIMAL,8,1
0.3,5000,1.0439340215,OK,OPTIMAL,-1.01345774,OK,OPTIMAL,8,1
0.2,5000,1.2627986166,OK,OPTIMAL,-1.227015662,OK,OPTIMAL,8,1
0.1,5000,1.5883777831,OK,OPTIMAL,-1.547594597,OK,OPTIMAL,8,1
1,5000,0.0166168694,OK,OPTIMAL,0.0166168694,OK,OPTIMAL,9,1
0.9,5000,0.1765519718,OK,OPTIMAL,-0.14568726,OK,OPTIMAL,9,1
0.8,5000,0.3144085366,OK,OPTIMAL,-0.284143363,OK,OPTIMAL,9,1
0.7,5000,0.4442384921,OK,OPTIMAL,-0.414534743,OK,OPTIMAL,9,1
0.6,5000,0.5750766289,OK,OPTIMAL,-0.544697984,OK,OPTIMAL,9,1
0.5,5000,0.7109939512,OK,OPTIMAL,-0.678116328,OK,OPTIMAL,9,1
0.4,5000,0.8654559768,OK,OPTIMAL,-0.827913787,OK,OPTIMAL,9,1
0.3,5000,1.0419967453,OK,OPTIMAL,-1.00031857,OK,OPTIMAL,9,1
0.2,5000,1.2617494576,OK,OPTIMAL,-1.216378876,OK,OPTIMAL,9,1
0.1,5000,1.5890240548,OK,OPTIMAL,-1.53475918,OK,OPTIMAL,9,1
1,5000,-0.000410585,OK,OPTIMAL,-0.000410585,OK,BEST_FE,10,1
0.9,5000,0.1631156401,OK,OPTIMAL,-0.160889529,OK,OPTIMAL,10,1
0.8,5000,0.3037054777,OK,OPTIMAL,-0.301274458,OK,OPTIMAL,10,1
0.7,5000,0.4338746568,OK,OPTIMAL,-0.434234044,OK,OPTIMAL,10,1
0.6,5000,0.5670874608,OK,OPTIMAL,-0.569049679,OK,OPTIMAL,10,1
0.5,5000,0.7066060074,OK,OPTIMAL,-0.707741254,OK,OPTIMAL,10,1
0.4,5000,0.859402372,OK,OPTIMAL,-0.858449978,OK,OPTIMAL,10,1
