p,k,maxb,status1,solstatus1,minb,status2,solstatus2,group,as
1,1000,0.0367643451,OK,BEST_FE,0.0367643451,OK,BEST_FE,1,1
0.9,1000,0.2111802919,OK,OPTIMAL,-0.142755558,OK,OPTIMAL,1,1
0.8,1000,0.3535180036,OK,OPTIMAL,-0.281161937,OK,OPTIMAL,1,1
0.7,1000,0.4891972568,OK,OPTIMAL,-0.417572228,OK,OPTIMAL,1,1
0.6,1000,0.6262581899,OK,OPTIMAL,-0.554769476,OK,OPTIMAL,1,1
0.5,1000,0.7707311264,OK,OPTIMAL,-0.697204731,OK,OPTIMAL,1,1
0.4,1000,0.9255370765,OK,OPTIMAL,-0.84898079,OK,OPTIMAL,1,1
0.3,1000,1.1008364793,OK,OPTIMAL,-1.022837372,OK,OPTIMAL,1,1
0.2,1000,1.317314362,OK,OPTIMAL,-1.23910353,OK,OPTIMAL,1,1
0.1,1000,1.6760600986,OK,OPTIMAL,-1.556672617,OK,OPTIMAL,1,1
1,1000,0.0367643451,OK,BEST_FE,0.0367643451,OK,OPTIMAL,1,2
0.9,1000,0.3459465924,OK,BEST_FE,-0.278275509,OK,BEST_FE,1,2
0.8,1000,0.451986528,OK,BEST_FE,-0.428608274,OK,OPTIMAL,1,2
0.7,1000,0.5854914481,OK,OPTIMAL,-0.495386543,OK,BEST_FE,1,2
0.6,1000,0.7127924898,OK,OPTIMAL,-0.62590306,OK,OPTIMAL,1,2
0.5,1000,0.8440891728,OK,OPTIMAL,-0.761418693,OK,OPTIMAL,1,2
0.4,1000,0.9929481157,OK,OPTIMAL,-1.016916672,OK,OPTIMAL,1,2
0.3,1000,1.1592185912,OK,OPTIMAL,-1.039834525,OK,OPTIMAL,1,2
0.2,1000,2.2092177316,OK,BEST_FE,-1.299766625,OK,OPTIMAL,1,2
0.1,1000,2.7924157228,OK,BEST_FE,-1.653468945,OK,OPTIMAL,1,2
1,1000,0.0367643451,OK,BEST_FE,0.0367643451,OK,BEST_FE,1,3
0.9,1000,0.2111802972,OK,OPTIMAL,-0.142755563,OK,OPTIMAL,1,3
0.8,1000,0.3535190186,OK,OPTIMAL,-0.281161955,OK,OPTIMAL,1,3
0.7,1000,0.4891975435,OK,OPTIMAL,-0.41757352,OK,OPTIMAL,1,3
0.6,1000,0.6262583722,OK,OPTIMAL,-0.554769425,OK,OPTIMAL,1,3
0.5,1000,0.7707324326,OK,OPTIMAL,-0.69720409,OK,OPTIMAL,1,3
0.4,1000,0.9255370886,OK,OPTIMAL,-0.848980758,OK,OPTIMAL,1,3
0.3,1000,1.1008363251,OK,OPTIMAL,-1.022837435,OK,OPTIMAL,1,3
0.2,1000,1.3173143249,OK,OPTIMAL,-1.23910366,OK,OPTIMAL,1,3
0.1,1000,1.6760600943,OK,OPTIMAL,-1.556672608,OK,OPTIMAL,1,3
