p,k,maxb,status1,solstatus1,minb,status2,solstatus2,group,as
1,2000,0.0385494524,OK,BEST_FE,0.0385494524,OK,BEST_FE,1,1
0.9,2000,0.4222529524,OK,OPTIMAL,-0.335223867,OK,BEST_FE,1,1
0.8,2000,0.4761243427,OK,BEST_FE,-0.402162835,OK,BEST_FE,1,1
0.7,2000,0.6846057928,OK,BEST_FE,-0.523988654,OK,OPTIMAL,1,1
0.6,2000,0.8242522574,OK,OPTIMAL,-1.00504645,OK,BEST_FE,1,1
0.5,2000,0.9519861611,OK,OPTIMAL,-0.909100591,OK,OPTIMAL,1,1
0.4,2000,1.3072844574,OK,BEST_FE,-1.15903531,OK,OPTIMAL,1,1
0.3,2000,1.445543486,OK,OPTIMAL,-1.46095386,OK,OPTIMAL,1,1
0.2,2000,1.6530679825,OK,OPTIMAL,-1.638883622,OK,OPTIMAL,1,1
0.1,2000,1.9015376308,OK,OPTIMAL,-1.933102767,OK,OPTIMAL,1,1
1,2000,0.0385494524,OK,BEST_FE,0.0385494524,OK,BEST_FE,1,2
0.9,2000,0.4301582595,OK,BEST_FE,-0.344881103,OK,BEST_FE,1,2
0.8,2000,0.3930875414,OK,OPTIMAL,-0.380315998,OK,OPTIMAL,1,2
0.7,2000,0.5254138458,OK,OPTIMAL,-0.750106767,OK,BEST_FE,1,2
0.6,2000,0.7442104179,OK,OPTIMAL,-0.876945172,OK,BEST_FE,1,2
0.5,2000,0.8701029535,OK,OPTIMAL,-1.006938215,OK,BEST_FE,1,2
0.4,2000,1.0090982017,OK,OPTIMAL,-1.144097243,OK,BEST_FE,1,2
0.3,2000,1.1593000638,OK,OPTIMAL,-1.286659244,OK,OPTIMAL,1,2
0.2,2000,1.4604275441,OK,OPTIMAL,-1.492885677,OK,OPTIMAL,1,2
0.1,2000,1.7533950926,OK,OPTIMAL,-1.064652966,OK,BEST_FE,1,2
1,2000,0.0385494524,OK,BEST_FE,0.0385494524,OK,BEST_FE,1,3
0.9,2000,0.4390355146,OK,BEST_FE,-0.351133155,OK,BEST_FE,1,3
0.8,2000,0.5135201014,OK,BEST_FE,-0.815198025,OK,BEST_FE,1,3
0.7,2000,0.9705056352,OK,BEST_FE,-0.621995155,OK,OPTIMAL,1,3
0.6,2000,0.7853383366,OK,OPTIMAL,-1.253034123,OK,OPTIMAL,1,3
0.5,2000,0.9148154589,OK,OPTIMAL,-1.573292039,OK,OPTIMAL,1,3
0.4,2000,1.5013058238,OK,OPTIMAL,-1.514597623,OK,OPTIMAL,1,3
0.3,2000,2.1356330554,OK,OPTIMAL,-2.471910032,OK,BEST_FE,1,3
0.2,2000,2.5421555539,OK,BEST_FE,-2.668340099,OK,BEST_FE,1,3
0.1,2000,2.7225318166,OK,OPTIMAL,-2.763772983,OK,OPTIMAL,1,3
