p,k,maxb,status1,solstatus1,minb,status2,solstatus2,group,as
1,5000,0.0267855501,OK,OPTIMAL,0.0267855501,OK,OPTIMAL,1,1
0.9,5000,0.1907210996,OK,OPTIMAL,-0.135487383,OK,OPTIMAL,1,1
0.8,5000,0.3314358498,OK,OPTIMAL,-0.273644745,OK,OPTIMAL,1,1
0.7,5000,0.4632749403,OK,OPTIMAL,-0.406292523,OK,OPTIMAL,1,1
0.6,5000,0.5963977872,OK,OPTIMAL,-0.541324248,OK,OPTIMAL,1,1
0.5,5000,0.735646103,OK,OPTIMAL,-0.682055806,OK,OPTIMAL,1,1
0.4,5000,0.885785058,OK,OPTIMAL,-0.834492846,OK,OPTIMAL,1,1
0.3,5000,1.0565677954,OK,OPTIMAL,-1.01121141,OK,OPTIMAL,1,1
0.2,5000,1.2704388429,OK,OPTIMAL,-1.233811333,OK,OPTIMAL,1,1
0.1,5000,1.5983931644,OK,OPTIMAL,-1.560935311,OK,OPTIMAL,1,1
1,5000,0.0267855501,OK,OPTIMAL,0.0267855501,OK,OPTIMAL,1,2
0.9,5000,0.3426864526,OK,BEST_FE,-0.128069593,OK,OPTIMAL,1,2
0.8,5000,0.4905783587,OK,BEST_FE,-0.422455929,OK,BEST_FE,1,2
0.7,5000,0.6218398706,OK,OPTIMAL,-0.55285003,OK,OPTIMAL,1,2
0.6,5000,0.7449897022,OK,OPTIMAL,-0.680285076,OK,OPTIMAL,1,2
0.5,5000,0.8836724176,OK,OPTIMAL,-0.814995885,OK,OPTIMAL,1,2
0.4,5000,0.7626688098,OK,BEST_FE,-0.6950206,OK,BEST_FE,1,2
0.3,5000,0.9130072335,OK,OPTIMAL,-0.8507941,OK,BEST_FE,1,2
0.2,5000,2.3492373092,OK,OPTIMAL,-1.444681077,OK,OPTIMAL,1,2
0.1,5000,1.407209219,OK,BEST_FE,-1.335557647,OK,BEST_FE,1,2
1,5000,0.0267855501,OK,OPTIMAL,0.0267855501,OK,OPTIMAL,1,3
0.9,5000,0.1907224942,OK,OPTIMAL,-0.13548725,OK,OPTIMAL,1,3
0.8,5000,0.3314643404,OK,OPTIMAL,-0.27368097,OK,OPTIMAL,1,3
0.7,5000,0.4632906386,OK,OPTIMAL,-0.406293678,OK,OPTIMAL,1,3
0.6,5000,0.5964113261,OK,OPTIMAL,-0.5413274,OK,OPTIMAL,1,3
0.5,5000,0.7360418212,OK,OPTIMAL,-0.682472528,OK,OPTIMAL,1,3
0.4,5000,0.8857853467,OK,OPTIMAL,-0.83449683,OK,OPTIMAL,1,3
0.3,5000,1.0565679216,OK,OPTIMAL,-1.011212149,OK,OPTIMAL,1,3
0.2,5000,1.270438923,OK,OPTIMAL,-1.233811409,OK,OPTIMAL,1,3
0.1,5000,1.5983931458,OK,OPTIMAL,-1.560933145,OK,OPTIMAL,1,3
