p,k,maxb,status1,solstatus1,minb,status2,solstatus2,group,as
1,10000,0.0153004743,OK,OPTIMAL,0.0153004742,OK,BEST_FE,1,1
0.9,10000,0.1456718299,OK,OPTIMAL,-0.116670774,OK,OPTIMAL,1,1
0.8,10000,0.2629960229,OK,OPTIMAL,-0.234259064,OK,OPTIMAL,1,1
0.7,10000,0.3732364005,OK,OPTIMAL,-0.344473544,OK,OPTIMAL,1,1
0.6,10000,0.4862971523,OK,OPTIMAL,-0.457159752,OK,OPTIMAL,1,1
0.5,10000,0.6020101974,OK,OPTIMAL,-0.572375286,OK,OPTIMAL,1,1
0.4,10000,0.7319221255,OK,OPTIMAL,-0.699109185,OK,OPTIMAL,1,1
0.3,10000,0.8784197028,OK,OPTIMAL,-0.843471148,OK,OPTIMAL,1,1
0.2,10000,1.0626464836,OK,OPTIMAL,-1.024360388,OK,OPTIMAL,1,1
0.1,10000,1.3335766222,OK,OPTIMAL,-1.288961114,OK,OPTIMAL,1,1
1,10000,0.0153004743,OK,OPTIMAL,0.0153004742,OK,BEST_FE,1,2
0.9,10000,0.1456728377,OK,OPTIMAL,-0.116672241,OK,OPTIMAL,1,2
0.8,10000,0.2630079213,OK,OPTIMAL,-0.234264596,OK,OPTIMAL,1,2
0.7,10000,0.3732732734,OK,OPTIMAL,-0.344445738,OK,OPTIMAL,1,2
0.6,10000,0.4863030577,OK,OPTIMAL,-0.457153643,OK,OPTIMAL,1,2
0.5,10000,0.6029568901,OK,OPTIMAL,-0.57231482,OK,OPTIMAL,1,2
0.4,10000,0.7319226106,OK,OPTIMAL,-0.699109454,OK,OPTIMAL,1,2
0.3,10000,0.8784196817,OK,OPTIMAL,-0.843471347,OK,OPTIMAL,1,2
0.2,10000,1.0626462762,OK,OPTIMAL,-1.024352691,OK,OPTIMAL,1,2
0.1,10000,1.3335765999,OK,OPTIMAL,-1.288965961,OK,OPTIMAL,1,2
1,10000,0.0153004743,OK,OPTIMAL,0.0153004742,OK,BEST_FE,1,3
0.9,10000,0.1456719397,OK,OPTIMAL,-0.116672124,OK,OPTIMAL,1,3
0.8,10000,0.2629962971,OK,OPTIMAL,-0.234258467,OK,OPTIMAL,1,3
0.7,10000,0.3732324194,OK,OPTIMAL,-0.34447262,OK,OPTIMAL,1,3
0.6,10000,0.486297227,OK,OPTIMAL,-0.457159439,OK,OPTIMAL,1,3
0.5,10000,0.6019923878,OK,OPTIMAL,-0.572377692,OK,OPTIMAL,1,3
0.4,10000,0.7319222129,OK,OPTIMAL,-0.699109121,OK,OPTIMAL,1,3
0.3,10000,0.878419751,OK,OPTIMAL,-0.843471261,OK,OPTIMAL,1,3
0.2,10000,1.0626464731,OK,OPTIMAL,-1.024360396,OK,OPTIMAL,1,3
0.1,10000,1.3335766249,OK,OPTIMAL,-1.288961113,OK,OPTIMAL,1,3
