p,k,maxb,status1,solstatus1,minb,status2,solstatus2,group,as
1,2000,0.0311953639,OK,BEST_FE,0.0311953639,OK,BEST_FEASIBLE,1,1
0.9,2000,0.3044433217,OK,BEST_FE,-0.282706805,OK,OPTIMAL,1,1
0.8,2000,0.4160316127,OK,BEST_FE,-0.398854753,OK,BEST_FEASIBLE,1,1
0.7,2000,0.5234003661,OK,BEST_FE,-0.505462428,OK,BEST_FEASIBLE,1,1
0.6,2000,0.6279602167,OK,BEST_FE,-0.609552,OK,OPTIMAL,1,1
0.5,2000,0.6865175526,OK,OPTIMAL,-0.726074524,OK,OPTIMAL,1,1
0.4,2000,0.8260831709,OK,OPTIMAL,-0.564897759,OK,BEST_FEASIBLE,1,1
0.3,2000,0.9248181531,OK,OPTIMAL,-0.986122549,OK,OPTIMAL,1,1
0.2,2000,1.131844609,OK,OPTIMAL,-0.832555738,OK,BEST_FEASIBLE,1,1
0.1,2000,1.3991041101,OK,OPTIMAL,-2.115973729,OK,BEST_FEASIBLE,1,1
1,2000,0.0311953639,OK,BEST_FE,0.0311953639,OK,BEST_FEASIBLE,1,2
0.9,2000,0.2983523182,OK,BEST_FE,-0.280687578,OK,OPTIMAL,1,2
0.8,2000,0.4199463629,OK,BEST_FE,-0.735391869,OK,OPTIMAL,1,2
0.7,2000,0.5230333864,OK,OPTIMAL,-0.862452817,OK,OPTIMAL,1,2
0.6,2000,0.9733416172,OK,BEST_FE,-0.379522712,OK,BEST_FEASIBLE,1,2
0.5,2000,1.0733792394,OK,BEST_FE,-1.071209277,OK,OPTIMAL,1,2
0.4,2000,1.1823602155,OK,BEST_FE,-0.615028301,OK,BEST_FEASIBLE,1,2
0.3,2000,1.3082549296,OK,OPTIMAL,-1.320693203,OK,OPTIMAL,1,2
0.2,2000,1.5005290292,OK,BEST_FE,-0.887666391,OK,BEST_FEASIBLE,1,2
0.1,2000,2.4483290202,OK,OPTIMAL,-0.896000398,OK,BEST_FEASIBLE,1,2
1,2000,0.031195364,OK,BEST_FE,0.0311953639,OK,BEST_FEASIBLE,1,3
0.9,2000,0.3185646777,OK,BEST_FE,-0.306464229,OK,OPTIMAL,1,3
0.8,2000,0.4808960192,OK,OPTIMAL,-0.742093404,OK,BEST_FEASIBLE,1,3
0.7,2000,0.5855179354,OK,OPTIMAL,-0.904936653,OK,OPTIMAL,1,3
0.6,2000,0.9883829314,OK,OPTIMAL,-1.396657139,OK,BEST_FEASIBLE,1,3
0.5,2000,1.5019659882,OK,BEST_FE,-0.662420227,OK,BEST_FEASIBLE,1,3
0.4,2000,1.5872986105,OK,BEST_FE,-1.710154251,OK,OPTIMAL,1,3
0.3,2000,1.8663554769,OK,BEST_FE,-0.880399922,OK,BEST_FEASIBLE,1,3
0.2,2000,1.9603408975,OK,OPTIMAL,-2.004038573,OK,OPTIMAL,1,3
0.1,2000,2.4330530679,OK,BEST_FE,-0.982893526,OK,BEST_FEASIBLE,1,3
