p,k,maxb,status1,solstatus1,minb,status2,solstatus2,group,as
1,2000,0.003109411,OK,OPTIMAL,0.003109411,OK,BEST_FE,1,1
0.9,2000,0.175571226,OK,OPTIMAL,-0.166412909,OK,OPTIMAL,1,1
0.8,2000,0.3132915853,OK,OPTIMAL,-0.302494937,OK,OPTIMAL,1,1
0.7,2000,0.4430342501,OK,OPTIMAL,-0.431615713,OK,OPTIMAL,1,1
0.6,2000,0.5744025834,OK,OPTIMAL,-0.56282744,OK,OPTIMAL,1,1
0.5,2000,0.7081146889,OK,OPTIMAL,-0.701874362,OK,OPTIMAL,1,1
0.4,2000,0.8548964974,OK,OPTIMAL,-0.856736156,OK,OPTIMAL,1,1
0.3,2000,1.0251794582,OK,OPTIMAL,-1.031127337,OK,OPTIMAL,1,1
0.2,2000,1.242935721,OK,OPTIMAL,-1.254982264,OK,OPTIMAL,1,1
0.1,2000,1.5751375057,OK,OPTIMAL,-1.595759057,OK,OPTIMAL,1,1
1,2000,0.003109411,OK,BEST_FE,0.003109411,OK,BEST_FE,1,2
0.9,2000,0.3073797568,OK,BEST_FE,-0.286607311,OK,BEST_FE,1,2
0.8,2000,0.4573711017,OK,OPTIMAL,-0.430183972,OK,OPTIMAL,1,2
0.7,2000,0.5824664227,OK,OPTIMAL,-0.556809788,OK,OPTIMAL,1,2
0.6,2000,0.6215898871,OK,OPTIMAL,-0.555943301,OK,BEST_FE,1,2
0.5,2000,0.7469102464,OK,OPTIMAL,-0.763856412,OK,BEST_FE,1,2
0.4,2000,0.9901514012,OK,OPTIMAL,-0.912491952,OK,BEST_FE,1,2
0.3,2000,1.9201747291,OK,BEST_FE,-1.585326112,OK,BEST_FE,1,2
0.2,2000,2.0479330326,OK,BEST_FE,-1.713869074,OK,BEST_FE,1,2
0.1,2000,2.6230774187,OK,BEST_FE,-2.153447561,OK,OPTIMAL,1,2
1,2000,0.003109411,OK,BEST_FE,0.003109411,OK,BEST_FE,1,3
0.9,2000,0.1755712843,OK,OPTIMAL,-0.166412909,OK,OPTIMAL,1,3
0.8,2000,0.3132914552,OK,OPTIMAL,-0.302494887,OK,OPTIMAL,1,3
0.7,2000,0.4430341543,OK,OPTIMAL,-0.431611006,OK,OPTIMAL,1,3
0.6,2000,0.5744028619,OK,OPTIMAL,-0.562827255,OK,OPTIMAL,1,3
0.5,2000,0.7081243835,OK,OPTIMAL,-0.702089733,OK,OPTIMAL,1,3
0.4,2000,0.8548962236,OK,OPTIMAL,-0.856736113,OK,OPTIMAL,1,3
0.3,2000,1.0251793937,OK,OPTIMAL,-1.031127711,OK,OPTIMAL,1,3
0.2,2000,1.2429352061,OK,OPTIMAL,-1.254982814,OK,OPTIMAL,1,3
0.1,2000,1.5751375083,OK,OPTIMAL,-1.595759137,OK,OPTIMAL,1,3
