p,k,maxb,status1,solstatus1,minb,status2,solstatus2,group,as
1,20000,0.0040880113,OK,OPTIMAL,0.0040880113,OK,BEST_FE,1,1
0.9,20000,0.1208605084,OK,OPTIMAL,-0.112055093,OK,OPTIMAL,1,1
0.8,20000,0.2361815142,OK,OPTIMAL,-0.227542904,OK,OPTIMAL,1,1
0.7,20000,0.3409940569,OK,OPTIMAL,-0.332901332,OK,OPTIMAL,1,1
0.6,20000,0.4577438883,OK,OPTIMAL,-0.449645746,OK,OPTIMAL,1,1
0.5,20000,0.5728799616,OK,OPTIMAL,-0.564702818,OK,OPTIMAL,1,1
0.4,20000,0.6979759864,OK,OPTIMAL,-0.689686013,OK,OPTIMAL,1,1
0.3,20000,0.8420797717,OK,OPTIMAL,-0.833882739,OK,OPTIMAL,1,1
0.2,20000,1.0233500315,OK,BEST_FE,-1.016151518,OK,OPTIMAL,1,1
0.1,20000,1.2884949521,OK,OPTIMAL,-1.286789973,OK,OPTIMAL,1,1
1,20000,0.0040880113,OK,OPTIMAL,0.0040880113,OK,BEST_FE,1,2
0.9,20000,0.1207340966,OK,OPTIMAL,-0.111877302,OK,OPTIMAL,1,2
0.8,20000,0.2362069097,OK,OPTIMAL,-0.227575087,OK,OPTIMAL,1,2
0.7,20000,0.3412416438,OK,OPTIMAL,-0.332994416,OK,OPTIMAL,1,2
0.6,20000,0.4577339055,OK,OPTIMAL,-0.449636337,OK,OPTIMAL,1,2
0.5,20000,0.5728822988,OK,OPTIMAL,-0.564704916,OK,OPTIMAL,1,2
0.4,20000,0.6979747311,OK,OPTIMAL,-0.689686296,OK,OPTIMAL,1,2
0.3,20000,0.842079698,OK,OPTIMAL,-0.833907813,OK,OPTIMAL,1,2
0.2,20000,1.0228976484,OK,OPTIMAL,-1.016236259,OK,OPTIMAL,1,2
0.1,20000,1.2884914911,OK,OPTIMAL,-1.286796343,OK,OPTIMAL,1,2
1,20000,0.0040880113,OK,OPTIMAL,0.0040880113,OK,BEST_FE,1,3
0.9,20000,0.120861093,OK,OPTIMAL,-0.112052412,OK,OPTIMAL,1,3
0.8,20000,0.2361736476,OK,OPTIMAL,-0.22753719,OK,OPTIMAL,1,3
0.7,20000,0.3409741141,OK,OPTIMAL,-0.33288651,OK,OPTIMAL,1,3
0.6,20000,0.4577403348,OK,OPTIMAL,-0.449641552,OK,OPTIMAL,1,3
0.5,20000,0.5728799675,OK,OPTIMAL,-0.564702828,OK,OPTIMAL,1,3
0.4,20000,0.697975967,OK,OPTIMAL,-0.689686014,OK,OPTIMAL,1,3
0.3,20000,0.8420797712,OK,OPTIMAL,-0.833882737,OK,OPTIMAL,1,3
0.2,20000,1.0233515069,OK,BEST_FE,-1.016151511,OK,OPTIMAL,1,3
0.1,20000,1.2884814315,OK,OPTIMAL,-1.286783599,OK,OPTIMAL,1,3
