p,group,k,bound,maxb,minb
1,1,2000,1.048099E-16,0.0012503709,0.0012503699
0.9,1,2000,0.0221046318,0.0214290457,-0.018931269
0.8,1,2000,0.0396699614,0.0394079652,-0.036734322
0.7,1,2000,0.0563054232,0.0566175325,-0.053528785
0.6,1,2000,0.0729918002,0.0736448809,-0.070785501
0.5,1,2000,0.0904467285,0.091000993,-0.088483955
0.4,1,2000,0.1094877002,0.1103324241,-0.108384818
0.3,1,2000,0.1313793207,0.1323312046,-0.130737495
0.2,1,2000,0.1586798458,0.1595183432,-0.157736928
0.1,1,2000,0.1989416861,0.1996885767,-0.197202117
1,2,2000,1.048099E-16,0.0013850147,0.0013850136
0.9,2,2000,0.0221046318,0.0218789776,-0.018572659
0.8,2,2000,0.0396699614,0.0393860508,-0.036298001
0.7,2,2000,0.0563054232,0.0557895586,-0.052844505
0.6,2,2000,0.0729918002,0.0723733404,-0.069402407
0.5,2,2000,0.0904467285,0.0893924631,-0.086628601
0.4,2,2000,0.1094877002,0.1085789072,-0.106133406
0.3,2,2000,0.1313793207,0.1307212848,-0.128786853
0.2,2,2000,0.1586798458,0.1584661066,-0.156895004
0.1,2,2000,0.1989416861,0.1976592335,-0.19980819
1,3,2000,1.048099E-16,0.0014858951,0.0014858939
0.9,3,2000,0.0221046318,0.0210850137,-0.019118124
0.8,3,2000,0.0396699614,0.0383921538,-0.037004827
0.7,3,2000,0.0563054232,0.0549640735,-0.053697915
0.6,3,2000,0.0729918002,0.0723212404,-0.070333557
0.5,3,2000,0.0904467285,0.0900507618,-0.087100981
0.4,3,2000,0.1094877002,0.1102460586,-0.105780943
0.3,3,2000,0.1313793207,0.1334919421,-0.126721165
0.2,3,2000,0.1586798458,0.1617746946,-0.152385127
0.1,3,2000,0.1989416861,0.203691658,-0.191656819
1,4,2000,1.048099E-16,-0.001288724,-0.001288725
0.9,4,2000,0.0221046318,0.0186719343,-0.021146391
0.8,4,2000,0.0396699614,0.0361574692,-0.038488259
0.7,4,2000,0.0563054232,0.0523858625,-0.054937699
0.6,4,2000,0.0729918002,0.0691865767,-0.071435095
0.5,4,2000,0.0904467285,0.086105143,-0.088709154
0.4,4,2000,0.1094877002,0.104942865,-0.108017028
0.3,4,2000,0.1313793207,0.1266713482,-0.129762773
0.2,4,2000,0.1586798458,0.1537591267,-0.157373827
0.1,4,2000,0.1989416861,0.1941091319,-0.197539084
1,5,2000,1.048099E-16,-0.000475831,-0.000475831
0.9,5,2000,0.0221046318,0.0192280598,-0.020753694
0.8,5,2000,0.0396699614,0.0364606618,-0.037965194
0.7,5,2000,0.0563054232,0.0528218204,-0.054385035
0.6,5,2000,0.0729918002,0.0691520777,-0.070499843
0.5,5,2000,0.0904467285,0.0861802648,-0.087147101
0.4,5,2000,0.1094877002,0.105594952,-0.105964047
0.3,5,2000,0.1313793207,0.127995837,-0.127611096
0.2,5,2000,0.1586798458,0.1557874626,-0.154468652
0.1,5,2000,0.1989416861,0.1987328797,-0.194457979
1,6,2000,1.048099E-16,0.0022377772,0.0022377755
0.9,6,2000,0.0221046318,0.0226278707,-0.017222071
0.8,6,2000,0.0396699614,0.0402123361,-0.034574732
0.7,6,2000,0.0563054232,0.056554435,-0.051299957
0.6,6,2000,0.0729918002,0.0734876788,-0.06863967
0.5,6,2000,0.0904467285,0.0906732297,-0.086200461
0.4,6,2000,0.1094877002,0.1095831068,-0.105653619
0.3,6,2000,0.1313793207,0.1302346177,-0.127699637
0.2,6,2000,0.1586798458,0.1557181843,-0.156007136
0.1,6,2000,0.1989416861,0.1940544242,-0.197896107
1,7,2000,1.048099E-16,0.0021773391,0.0021773374
0.9,7,2000,0.0221046318,0.0214789677,-0.01793891
0.8,7,2000,0.0396699614,0.0385417252,-0.035273533
0.7,7,2000,0.0563054232,0.0547161511,-0.051355104
0.6,7,2000,0.0729918002,0.0717485787,-0.067864883
0.5,7,2000,0.0904467285,0.0889683547,-0.084621576
0.4,7,2000,0.1094877002,0.108259802,-0.103195884
0.3,7,2000,0.1313793207,0.1302433848,-0.123831534
