p,group,k,bound,maxb,minb
1,1,2000,3.627695E-16,0.0043278014,0.0043278014
0.9,1,2000,0.0765088638,0.0790764312,-0.070411684
0.8,1,2000,0.1373062309,0.1414109069,-0.132131112
0.7,1,2000,0.194885126,0.2009939395,-0.191054081
0.6,1,2000,0.2526402497,0.2599342295,-0.249996498
0.5,1,2000,0.3130554943,0.3206819451,-0.312025364
0.4,1,2000,0.3789603745,0.3870569222,-0.380336702
0.3,1,2000,0.4547319606,0.4635991429,-0.457831205
0.2,1,2000,0.5492249235,0.5575328589,-0.551383526
0.1,1,2000,0.6885797739,0.6966865333,-0.688066627
1,2,2000,3.627695E-16,0.0047938324,0.0047938324
0.9,2,2000,0.0765088638,0.080584431,-0.069113145
0.8,2,2000,0.1373062309,0.1412604556,-0.13064339
0.7,2,2000,0.194885126,0.1987624547,-0.187937437
0.6,2,2000,0.2526402497,0.2555304574,-0.245156537
0.5,2,2000,0.3130554943,0.3151098707,-0.305515319
0.4,2,2000,0.3789603745,0.3809435269,-0.372530207
0.3,2,2000,0.4547319606,0.457770166,-0.451069583
0.2,2,2000,0.5492249235,0.5539175482,-0.548450634
0.1,2,2000,0.6885797739,0.6896620215,-0.697118875
1,3,2000,3.627695E-16,0.0051430009,0.0051430009
0.9,3,2000,0.0765088638,0.0778443022,-0.071039285
0.8,3,2000,0.1373062309,0.1378041614,-0.133068719
0.7,3,2000,0.194885126,0.1962017331,-0.191551452
0.6,3,2000,0.2526402497,0.2552690384,-0.24849358
0.5,3,2000,0.3130554943,0.3176823821,-0.307298181
0.4,3,2000,0.3789603745,0.3868219946,-0.371264823
0.3,3,2000,0.4547319606,0.4673752728,-0.443939483
0.2,3,2000,0.5492249235,0.5653573096,-0.532844868
0.1,3,2000,0.6885797739,0.7105511678,-0.668879991
1,4,2000,3.627695E-16,-0.004460552,-0.004460555
0.9,4,2000,0.0765088638,0.069440785,-0.078031193
0.8,4,2000,0.1373062309,0.1300864455,-0.138138592
0.7,4,2000,0.194885126,0.1869374227,-0.195075818
0.6,4,2000,0.2526402497,0.2444215363,-0.252185211
0.5,4,2000,0.3130554943,0.3038776128,-0.312793952
0.4,4,2000,0.3789603745,0.3683510329,-0.379004024
0.3,4,2000,0.4547319606,0.4437388295,-0.454428462
0.2,4,2000,0.5492249235,0.5376145108,-0.550125237
0.1,4,2000,0.6885797739,0.6773763616,-0.68924613
1,5,2000,3.627695E-16,-0.001646952,-0.001646953
0.9,5,2000,0.0765088638,0.071376645,-0.0766802
0.8,5,2000,0.1373062309,0.1311178385,-0.13637395
0.7,5,2000,0.194885126,0.1878217496,-0.193171707
0.6,5,2000,0.2526402497,0.2444366219,-0.249007643
0.5,5,2000,0.3130554943,0.3041554909,-0.307453001
0.4,5,2000,0.3789603745,0.370640678,-0.37199969
0.3,5,2000,0.4547319606,0.4486521725,-0.447019568
0.2,5,2000,0.5492249235,0.5446182074,-0.540054764
0.1,5,2000,0.6885797739,0.6933950354,-0.678588598
1,6,2000,3.627695E-16,0.0077454262,0.0077454261
0.9,6,2000,0.0765088638,0.0831387737,-0.064455705
0.8,6,2000,0.1373062309,0.1441932584,-0.124581599
0.7,6,2000,0.194885126,0.2014509813,-0.183087857
0.6,6,2000,0.2526402497,0.2593094355,-0.24258852
0.5,6,2000,0.3130554943,0.3194905317,-0.303988741
0.4,6,2000,0.3789603745,0.3844797787,-0.370821186
0.3,6,2000,0.4547319606,0.4563435662,-0.447600716
0.2,6,2000,0.5492249235,0.5443939622,-0.545427651
0.1,6,2000,0.6885797739,0.677184042,-0.690471912
1,7,2000,3.627695E-16,0.0075362367,0.0075362367
0.9,7,2000,0.0765088638,0.079196934,-0.066955666
0.8,7,2000,0.1373062309,0.1383608322,-0.12708665
0.7,7,2000,0.194885126,0.1954071288,-0.183310825
0.6,7,2000,0.2526402497,0.2532870729,-0.239847598
0.5,7,2000,0.3130554943,0.3135986958,-0.298592958
0.4,7,2000,0.3789603745,0.3798444947,-0.362312512
0.3,7,2000,0.4547319606,0.4561196552,-0.434190602
0.2,7,2000,0.5492249235,0.5534062991,-0.523120448
0.1,7,2000,0.6885797739,0.6977197959,-0.657026878
1,8,2000,3.627695E-16,0.0045347003,0.0045347002
0.9,8,2000,0.0765088638,0.0807088625,-0.069534844
0.8,8,2000,0.1373062309,0.1405819336,-0.130750804
0.7,8,2000,0.194885126,0.1963747064,-0.187982358
0.6,8,2000,0.2526402497,0.2538275056,-0.245366491
0.5,8,2000,0.3130554943,0.3141839767,-0.305109148
0.4,8,2000,0.3789603745,0.3806125716,-0.370624621
0.3,8,2000,0.4547319606,0.4571618296,-0.446347125
0.2,8,2000,0.5492249235,0.5530544728,-0.546954673
0.1,8,2000,0.6885797739,0.6907801407,-0.700804467
1,9,2000,3.627695E-16,0.0004438478,0.0004438478
0.9,9,2000,0.0765088638,0.0717031395,-0.070773314
0.8,9,2000,0.1373062309,0.1291267809,-0.129697176
0.7,9,2000,0.194885126,0.1842548149,-0.185285191
0.6,9,2000,0.2526402497,0.2398305658,-0.23997047
0.5,9,2000,0.3130554943,0.2981567888,-0.297341665
0.4,9,2000,0.3789603745,0.3623341865,-0.359850786
0.3,9,2000,0.4547319606,0.4370884857,-0.431720864
0.2,9,2000,0.5492249235,0.5283778104,-0.521638137
0.1,9,2000,0.6885797739,0.6611029362,-0.660521963
1,10,2000,3.627695E-16,-0.002378582,-0.002378582
0.9,10,2000,0.0765088638,0.072523991,-0.075043333
0.8,10,2000,0.1373062309,0.1325117468,-0.136121849
0.7,10,2000,0.194885126,0.1888968786,-0.193967919
0.6,10,2000,0.2526402497,0.2459550337,-0.252312349
0.5,10,2000,0.3130554943,0.3070375308,-0.31167949
0.4,10,2000,0.3789603745,0.37376358,-0.376093026
0.3,10,2000,0.4547319606,0.4480286495,-0.451952911
0.2,10,2000,0.5492249235,0.5399630505,-0.549288754
0.1,10,2000,0.6885797739,0.671295625,-0.696229195
