p,group,k,bound,maxb,minb,maxb0,minb0,maxb2,minb2
1,1,2000,3.627695E-16,0.0049538724,0.0049538723,0.0049538724,0.0049538723,0,0
0.9,1,2000,0.0765088638,0.0813737633,-0.069920334,0.0049538724,0.0049538723,0.076419891,-0.074874206
0.8,1,2000,0.1373062309,0.1432712865,-0.13075559,0.0049538724,0.0049538723,0.1383174142,-0.135709463
0.7,1,2000,0.194885126,0.1999850799,-0.188454002,0.0049538724,0.0049538723,0.1950312075,-0.193407874
0.6,1,2000,0.2526402497,0.2563084891,-0.246351303,0.0049538724,0.0049538723,0.2513546168,-0.251305176
0.5,1,2000,0.3130554943,0.3166721532,-0.306705686,0.0049538724,0.0049538723,0.3117182809,-0.311659559
0.4,1,2000,0.3789603745,0.3831528879,-0.37330423,0.0049538724,0.0049538723,0.3781990156,-0.378258102
0.3,1,2000,0.4547319606,0.4596341716,-0.453393451,0.0049538724,0.0049538723,0.4546802992,-0.458347323
0.2,1,2000,0.5492249235,0.5551970546,-0.555694632,0.0049538724,0.0049538723,0.5502431823,-0.560648504
0.1,1,2000,0.6885797739,0.6984617798,-0.7026168,0.0049538724,0.0049538723,0.6935079075,-0.707570672
1,2,2000,3.627695E-16,0.0141100784,0.0141100783,0.0141100784,0.0141100783,0,0
0.9,2,2000,0.0765088638,0.0892794435,-0.05994806,0.0141100784,0.0141100783,0.0751693651,-0.074058138
0.8,2,2000,0.1373062309,0.1506825474,-0.12069136,0.0141100784,0.0141100783,0.136572469,-0.134801439
0.7,2,2000,0.194885126,0.2076394848,-0.177285008,0.0141100784,0.0141100783,0.1935294064,-0.191395087
0.6,2,2000,0.2526402497,0.2648860189,-0.234718885,0.0141100784,0.0141100783,0.2507759405,-0.248828963
0.5,2,2000,0.3130554943,0.3241755963,-0.296034914,0.0141100784,0.0141100783,0.3100655179,-0.310144992
0.4,2,2000,0.3789603745,0.388568892,-0.36328673,0.0141100784,0.0141100783,0.3744588136,-0.377396809
0.3,2,2000,0.4547319606,0.4639640361,-0.440720488,0.0141100784,0.0141100783,0.4498539577,-0.454830566
0.2,2,2000,0.5492249235,0.5606936743,-0.539582559,0.0141100784,0.0141100783,0.5465835959,-0.553692637
0.1,2,2000,0.6885797739,0.7003837311,-0.682172434,0.0141100784,0.0141100783,0.6862736528,-0.696282512
1,3,2000,3.627695E-16,0.0002098949,0.0002098949,0.0002098949,0.0002098949,0,0
0.9,3,2000,0.0765088638,0.076202302,-0.07477313,0.0002098949,0.0002098949,0.075992407,-0.074983025
0.8,3,2000,0.1373062309,0.1357773279,-0.134911262,0.0002098949,0.0002098949,0.135567433,-0.135121157
0.7,3,2000,0.194885126,0.1922017935,-0.191975065,0.0002098949,0.0002098949,0.1919918985,-0.19218496
0.6,3,2000,0.2526402497,0.2488822352,-0.248495576,0.0002098949,0.0002098949,0.2486723403,-0.248705471
0.5,3,2000,0.3130554943,0.3081374886,-0.30771473,0.0002098949,0.0002098949,0.3079275937,-0.307924625
0.4,3,2000,0.3789603745,0.3745119447,-0.374022056,0.0002098949,0.0002098949,0.3743020497,-0.374231951
0.3,3,2000,0.4547319606,0.4519198814,-0.45103107,0.0002098949,0.0002098949,0.4517099865,-0.451240965
0.2,3,2000,0.5492249235,0.5480799359,-0.54942315,0.0002098949,0.0002098949,0.547870041,-0.549633045
0.1,3,2000,0.6885797739,0.6947499429,-0.703414193,0.0002098949,0.0002098949,0.694540048,-0.703624088
1,4,2000,3.627695E-16,-0.00367598,-0.003675982,-0.00367598,-0.003675982,0,0
0.9,4,2000,0.0765088638,0.0685638708,-0.075221401,-0.00367598,-0.003675982,0.0722398504,-0.071545419
0.8,4,2000,0.1373062309,0.1287531479,-0.136648296,-0.00367598,-0.003675982,0.1324291275,-0.132972314
0.7,4,2000,0.194885126,0.1862778353,-0.195826707,-0.00367598,-0.003675982,0.1899538149,-0.192150726
0.6,4,2000,0.2526402497,0.2443352376,-0.253602306,-0.00367598,-0.003675982,0.2480112172,-0.249926324
0.5,4,2000,0.3130554943,0.3057029669,-0.312968732,-0.00367598,-0.003675982,0.3093789465,-0.30929275
0.4,4,2000,0.3789603745,0.3724366917,-0.376916477,-0.00367598,-0.003675982,0.3761126713,-0.373240495
0.3,4,2000,0.4547319606,0.4479651957,-0.450173591,-0.00367598,-0.003675982,0.4516411753,-0.446497609
0.2,4,2000,0.5492249235,0.535645762,-0.540768404,-0.00367598,-0.003675982,0.5393217416,-0.537092422
0.1,4,2000,0.6885797739,0.6599067718,-0.673338739,-0.00367598,-0.003675982,0.6635827514,-0.669662757
1,5,2000,3.627695E-16,-0.002885079,-0.002885082,-0.002885079,-0.002885082,0,0
0.9,5,2000,0.0765088638,0.0719009728,-0.076641346,-0.002885079,-0.002885082,0.0747860522,-0.073756264
0.8,5,2000,0.1373062309,0.1328409301,-0.13643727,-0.002885079,-0.002885082,0.1357260095,-0.133552189
0.7,5,2000,0.194885126,0.1897889954,-0.193875748,-0.002885079,-0.002885082,0.1926740748,-0.190990667
0.6,5,2000,0.2526402497,0.2466345342,-0.251854733,-0.002885079,-0.002885082,0.2495196136,-0.248969651
0.5,5,2000,0.3130554943,0.3063476312,-0.312106745,-0.002885079,-0.002885082,0.3092327106,-0.309221664
0.4,5,2000,0.3789603745,0.3718099003,-0.378392958,-0.002885079,-0.002885082,0.3746949797,-0.375507876
0.3,5,2000,0.4547319606,0.4460340584,-0.45572551,-0.002885079,-0.002885082,0.4489191378,-0.452840429
0.2,5,2000,0.5492249235,0.5386665971,-0.553153167,-0.002885079,-0.002885082,0.5415516765,-0.550268086
0.1,5,2000,0.6885797739,0.6806452716,-0.695713756,-0.002885079,-0.002885082,0.683530351,-0.692828675
1,6,2000,3.627695E-16,0.0071114919,0.0071114919,0.0071114919,0.0071114919,0,0
0.9,6,2000,0.0765088638,0.0793913485,-0.068989899,0.0071114919,0.0071114919,0.0722798565,-0.076101391
0.8,6,2000,0.1373062309,0.1396610786,-0.129740233,0.0071114919,0.0071114919,0.1325495867,-0.136851724
0.7,6,2000,0.194885126,0.1965001782,-0.186367642,0.0071114919,0.0071114919,0.1893886863,-0.193479133
0.6,6,2000,0.2526402497,0.2537689321,-0.241799693,0.0071114919,0.0071114919,0.2466574402,-0.248911184
0.5,6,2000,0.3130554943,0.3147885732,-0.300501433,0.0071114919,0.0071114919,0.3076770812,-0.307612925
0.4,6,2000,0.3789603745,0.3817066457,-0.364097063,0.0071114919,0.0071114919,0.3745951537,-0.371208554
0.3,6,2000,0.4547319606,0.4618285382,-0.438065082,0.0071114919,0.0071114919,0.4547170463,-0.445176574
0.2,6,2000,0.5492249235,0.561878786,-0.530459488,0.0071114919,0.0071114919,0.5547672941,-0.53757098
0.1,6,2000,0.6885797739,0.7117131699,-0.663011064,0.0071114919,0.0071114919,0.7046016779,-0.670122556
1,7,2000,3.627695E-16,0.0155417909,0.0155417908,0.0155417909,0.0155417908,0,0
0.9,7,2000,0.0765088638,0.0873061553,-0.059157361,0.0155417909,0.0155417908,0.0717643644,-0.074699152
