p,maxb,k,minb,as
1,0.0385494524,2000,0.0385494524,1
0.9,0.2114340574,2000,-0.134972446,1
0.8,0.352567274,2000,-0.270210481,1
0.7,0.4844876354,2000,-0.403911967,1
0.6,0.6180412154,2000,-0.540076478,1
0.5,0.7587461906,2000,-0.68164112,1
0.4,0.909369249,2000,-0.833585317,1
0.3,1.0787053069,2000,-1.009708784,1
0.2,1.2909818326,2000,-1.235002431,1
0.1,1.646427838,2000,-1.564031367,1
1,0.0385494524,2000,0.0385494524,2
0.9,0.3587102574,2000,-0.27403325,2
0.8,0.5105972602,2000,-0.418592639,2
0.7,0.5466925921,2000,-0.46449587,2
0.6,0.6744417795,2000,-0.594150777,2
0.5,0.8076147046,2000,-0.724504004,2
0.4,1.0652923392,2000,-0.867428276,2
0.3,2.0227782132,2000,-1.02759311,2
0.2,2.1515810965,2000,-1.235246339,2
0.1,2.7488050757,2000,-2.607957281,2
1,0.0385494524,2000,0.0385494524,3
0.9,0.2114340157,2000,-0.134972503,3
0.8,0.3525672789,2000,-0.270210604,3
0.7,0.4844383359,2000,-0.403880494,3
0.6,0.6180413832,2000,-0.540076278,3
0.5,0.7587115585,2000,-0.681613817,3
0.4,0.9093692808,2000,-0.833585151,3
0.3,1.0787053226,2000,-1.009708769,3
0.2,1.2909820662,2000,-1.235002392,3
0.1,1.646428301,2000,-1.564031802,3
