p,maxb,k,minb,as
1,0.031195364,2000,0.0311953639,1
0.9,0.1773867175,2000,-0.115223639,1
0.8,0.2966463125,2000,-0.229038727,1
0.7,0.4074824351,2000,-0.340631512,1
0.6,0.5186627979,2000,-0.454772908,1
0.5,0.6366445199,2000,-0.57424926,1
0.4,0.7619135657,2000,-0.70177132,1
0.3,0.9035772616,2000,-0.851677018,1
0.2,1.0827248989,2000,-1.041256379,1
0.1,1.3772338263,2000,-1.312929716,1
1,0.031195364,2000,0.0311953639,2
0.9,0.1773870387,2000,-0.115222081,2
0.8,0.2966463542,2000,-0.229038752,2
0.7,0.4074899881,2000,-0.340634107,2
0.6,0.5186625654,2000,-0.454774535,2
0.5,0.6366193294,2000,-0.574247391,2
0.4,0.7618904706,2000,-0.701770977,2
0.3,0.903577274,2000,-0.851677005,2
0.2,1.0827241001,2000,-1.041256337,2
0.1,1.37723394,2000,-1.312929611,2
1,0.031195364,2000,0.0311953639,3
0.9,0.1773868423,2000,-0.115223666,3
0.8,0.2966463339,2000,-0.229038728,3
0.7,0.4074830213,2000,-0.340632095,3
0.6,0.5186629276,2000,-0.454772842,3
0.5,0.6366388749,2000,-0.574249252,3
0.4,0.7618898542,2000,-0.701771266,3
0.3,0.9035772582,2000,-0.851677052,3
0.2,1.0827249161,2000,-1.041256367,3
0.1,1.3772335309,2000,-1.312929067,3
