p,maxb,k,minb,group,maxb0,minb0,maxb2,minb2
1,-0.007089295,2000,-0.007089295,1,-0.007089295,-0.007089295,0,0
0.9,0.1511654881,2000,-0.174226293,1,-0.007089295,-0.007089295,0.1582547831,-0.167136997
0.8,0.2842850078,2000,-0.311078357,1,-0.007089295,-0.007089295,0.2913743029,-0.303989062
0.7,0.4142367741,2000,-0.43792636,1,-0.007089295,-0.007089295,0.4213260692,-0.430837065
0.6,0.544284049,2000,-0.562391109,1,-0.007089295,-0.007089295,0.5513733441,-0.555301814
0.5,0.6795640055,2000,-0.693761828,1,-0.007089295,-0.007089295,0.6866533006,-0.686672533
0.4,0.8287474708,2000,-0.837041676,1,-0.007089295,-0.007089295,0.8358367659,-0.829952381
0.3,1.0059387954,2000,-0.99793939,1,-0.007089295,-0.007089295,1.0130280905,-0.990850095
0.2,1.2263508109,2000,-1.190038311,1,-0.007089295,-0.007089295,1.2334401059,-1.182949016
0.1,1.543995801,2000,-1.477940785,1,-0.007089295,-0.007089295,1.5510850961,-1.47085149
