p,maxb,k,minb,group
1,-0.005940915,2000,-0.005940915,1
0.9,0.1563874408,2000,-0.171532123,1
0.8,0.2926491312,2000,-0.307964925,1
0.7,0.4783940275,2000,-0.4365415,1
0.6,0.606094651,2000,-0.627022805,1
0.5,0.6452084126,2000,-0.664617368,1
0.4,0.791065544,2000,-0.813661553,1
0.3,1.533203245,2000,-1.044378418,1
0.2,1.6986685553,2000,-1.227735683,1
0.1,2.0115073711,2000,-2.076721925,1
1,0.0204469866,2000,0.0204469866,2
0.9,0.1904429876,2000,-0.138892767,2
0.8,0.3881053021,2000,-0.272737237,2
0.7,0.5150676461,2000,-0.453251134,2
0.6,0.6423929206,2000,-0.58378522,2
0.5,0.7742714401,2000,-0.719071405,2
0.4,0.8215449405,2000,-0.862619674,2
0.3,0.9796426482,2000,-1.414692436,2
0.2,1.7023423061,2000,-1.725184601,2
0.1,1.4712371711,2000,-2.058128619,2
1,-0.004471071,2000,-0.004471071,3
0.9,0.1596598822,2000,-0.173576836,3
0.8,0.2976053265,2000,-0.312620331,3
0.7,0.4799959575,2000,-0.507469082,3
0.6,0.6109488991,2000,-0.637091399,3
0.5,0.9102748449,2000,-0.770396134,3
0.4,1.1560408674,2000,-1.383253571,3
0.3,1.3670871114,2000,-0.98603918,3
0.2,1.5361942896,2000,-1.788386107,3
0.1,1.8537567872,2000,-2.079348383,3
1,-0.030263479,2000,-0.030263479,4
0.9,0.1378707837,2000,-0.193955678,4
0.8,0.2751264831,2000,-0.329590524,4
0.7,0.4466680763,2000,-0.502611016,4
0.6,0.576585197,2000,-0.634277456,4
0.5,0.709132278,2000,-0.771090529,4
0.4,0.8525452797,2000,-1.190962922,4
0.3,1.264844318,2000,-1.333896795,4
0.2,1.4216321308,2000,-1.499818098,4
0.1,1.7231781365,2000,-1.808759297,4
1,0.0046267168,2000,0.0046267168,5
0.9,0.1660630895,2000,-0.162632413,5
0.8,0.3626794294,2000,-0.298424087,5
0.7,0.4902169672,2000,-0.470559022,5
0.6,0.6194062539,2000,-0.597539279,5
0.5,0.6618555854,2000,-0.728828942,5
0.4,0.8087916337,2000,-1.284683231,5
0.3,0.9793093565,2000,-0.832711721,5
0.2,1.2063267187,2000,-1.660626522,5
0.1,1.5372238034,2000,-1.364902372,5
1,-0.011469275,2000,-0.011469275,6
0.9,0.1560333316,2000,-0.173160092,6
0.8,0.2938147673,2000,-0.359718561,6
0.7,0.4740333556,2000,-0.489641909,6
0.6,0.6007882739,2000,-0.61984798,6
0.5,0.7322938742,2000,-1.19831933,6
0.4,0.7789689041,2000,-0.754881035,6
0.3,0.9386990853,2000,-1.271910758,6
0.2,1.6194435215,2000,-1.425790075,6
0.1,1.9088112817,2000,-1.693410515,6
1,0.0410646035,2000,0.0410646035,7
0.9,0.2017419766,2000,-0.123159754,7
0.8,0.3375672988,2000,-0.259269073,7
0.7,0.5220065357,2000,-0.457064835,7
0.6,0.6521332433,2000,-0.586072699,7
0.5,0.7867000456,2000,-0.720441395,7
0.4,1.3291606408,2000,-0.865540797,7
0.3,1.4752251138,2000,-1.023207109,7
0.2,1.7139493199,2000,-1.043163921,7
0.1,2.0128639,2000,-1.697265257,7
1,-0.005995492,2000,-0.005995492,8
0.9,0.1600126088,2000,-0.17331889,8
0.8,0.2957088422,2000,-0.310561006,8
0.7,0.479012359,2000,-0.478920364,8
0.6,0.6067859228,2000,-0.605432453,8
0.5,0.6462832242,2000,-0.893012919,8
0.4,0.793615413,2000,-1.127838473,8
0.3,0.9619914029,2000,-1.328958099,8
0.2,1.6773252291,2000,-1.491819268,8
0.1,1.9917502148,2000,-1.801511854,8
1,-0.027759032,2000,-0.027759032,9
0.9,0.1340601982,2000,-0.188173928,9
0.8,0.2654906066,2000,-0.320690524,9
0.7,0.4339543726,2000,-0.444940651,9
0.6,0.5550594195,2000,-0.63220149,9
0.5,0.5892289996,2000,-0.667457537,9
0.4,1.1045383645,2000,-0.808214083,9
0.3,1.3069019993,2000,-0.97934459,9
0.2,1.4648585389,2000,-1.177163506,9
0.1,1.7654250713,2000,-2.140983733,9
1,-0.009201764,2000,-0.009201764,10
0.9,0.1561388481,2000,-0.169592636,10
0.8,0.2938951576,2000,-0.304870249,10
0.7,0.4800855545,2000,-0.492920275,10
0.6,0.6085036011,2000,-0.624295511,10
0.5,0.7416635319,2000,-0.760164595,10
0.4,0.78752973,2000,-0.910559469,10
0.3,0.9462273763,2000,-0.911721587,10
0.2,1.6050722742,2000,-1.354501222,10
0.1,1.9871934301,2000,-2.159775243,10
