p,maxb,k,minb,group
1,0.0079565859,2000,0.0079565859,1
0.9,0.1656292082,2000,-0.151413604,1
0.8,0.2983063216,2000,-0.284138415,1
0.7,0.4247347072,2000,-0.408990214,1
0.6,0.5542847922,2000,-0.53668162,1
0.5,0.6854313244,2000,-0.669670563,1
0.4,0.8278096526,2000,-0.814434226,1
0.3,0.9889675343,2000,-0.972543122,1
0.2,1.1937519786,2000,-1.170900873,1
0.1,1.4888259304,2000,-1.457695594,1
1,-0.026608419,2000,-0.026608419,2
0.9,0.1301386545,2000,-0.18975244,2
0.8,0.2579535973,2000,-0.321793438,2
0.7,0.3801739332,2000,-0.440692622,2
0.6,0.5023005763,2000,-0.559930702,2
0.5,0.6316133881,2000,-0.684995529,2
0.4,0.7762506259,2000,-0.822844968,2
0.3,0.9472886706,2000,-0.983478283,2
0.2,1.1716391604,2000,-1.182278956,2
0.1,1.4883550569,2000,-1.483750549,2
1,-0.0031332,2000,-0.0031332,3
0.9,0.1503635495,2000,-0.160547731,3
0.8,0.2745249376,2000,-0.287921549,3
0.7,0.3953069522,2000,-0.407316357,3
0.6,0.5182027924,2000,-0.525025041,3
0.5,0.643613604,2000,-0.650052846,3
0.4,0.7825793376,2000,-0.788027184,3
0.3,0.9476744741,2000,-0.940535924,3
0.2,1.1534424844,2000,-1.131140247,3
0.1,1.4601271005,2000,-1.431109636,3
1,0.0083935192,2000,0.0083935192,4
0.9,0.1603157466,2000,-0.147954752,4
0.8,0.2898549738,2000,-0.27861885,4
0.7,0.41348379,2000,-0.402618412,4
0.6,0.5367069973,2000,-0.523841627,4
0.5,0.6662512973,2000,-0.649471403,4
0.4,0.8096542179,2000,-0.786968918,4
0.3,0.9751554117,2000,-0.944565576,4
0.2,1.1738961754,2000,-1.134807529,4
0.1,1.4621106665,2000,-1.405273963,4
1,-0.022387324,2000,-0.022387324,5
0.9,0.13639163,2000,-0.181396944,5
0.8,0.2651129648,2000,-0.311527697,5
0.7,0.3873843766,2000,-0.433600318,5
0.6,0.5107159827,2000,-0.554575443,5
0.5,0.6384119676,2000,-0.683347097,5
0.4,0.7787731095,2000,-0.824924674,5
0.3,0.9448491576,2000,-0.986238715,5
0.2,1.1515894627,2000,-1.189772458,5
0.1,1.4552738872,2000,-1.497868142,5
1,-0.01943484,2000,-0.01943484,6
0.9,0.1393635388,2000,-0.172552134,6
0.8,0.269172167,2000,-0.30106715,6
0.7,0.393663998,2000,-0.425663578,6
0.6,0.5185490754,2000,-0.551948103,6
0.5,0.647050486,2000,-0.686069659,6
0.4,0.7822014074,2000,-0.829291703,6
0.3,0.9364766885,2000,-0.991024591,6
0.2,1.1244987763,2000,-1.191277195,6
0.1,1.4050123089,2000,-1.495006312,6
1,-0.011359335,2000,-0.011359335,7
0.9,0.1411765487,2000,-0.167843642,7
0.8,0.266607286,2000,-0.294400878,7
0.7,0.3881743131,2000,-0.416798271,7
0.6,0.5133404096,2000,-0.53993933,7
0.5,0.6438082724,2000,-0.66652311,7
0.4,0.7843799616,2000,-0.801279889,7
0.3,0.9423828877,2000,-0.951518987,7
0.2,1.1382010345,2000,-1.140565666,7
0.1,1.4435148104,2000,-1.430936016,7
1,0.0029103642,2000,0.0029103642,8
0.9,0.1615270935,2000,-0.152877848,8
0.8,0.2885278582,2000,-0.278323511,8
0.7,0.4081044779,2000,-0.397373825,8
0.6,0.5291590011,2000,-0.518399693,8
0.5,0.6524646688,2000,-0.646520219,8
0.4,0.7877512749,2000,-0.789337073,8
0.3,0.9446024836,2000,-0.950263399,8
0.2,1.1452001543,2000,-1.156898993,8
0.1,1.451202513,2000,-1.471214069,8
1,-0.02296657,2000,-0.02296657,9
0.9,0.1285597367,2000,-0.173320102,9
0.8,0.2505113473,2000,-0.296063168,9
0.7,0.3665871446,2000,-0.412740994,9
0.6,0.4844243699,2000,-0.530354925,9
0.5,0.6071709954,2000,-0.653078529,9
0.4,0.7409975843,2000,-0.786919516,9
0.3,0.8942021765,2000,-0.939602823,9
0.2,1.086783825,2000,-1.134244918,9
0.1,1.3767478899,2000,-1.433085225,9
1,-0.003433362,2000,-0.003433362,10
0.9,0.1499552055,2000,-0.156149506,10
0.8,0.2755262127,2000,-0.28362388,10
0.7,0.3932931367,2000,-0.403739015,10
0.6,0.5140229269,2000,-0.525163933,10
0.5,0.6420926934,2000,-0.648964095,10
0.4,0.7820365145,2000,-0.78247978,10
0.3,0.9383110222,2000,-0.936816011,10
0.2,1.1347799088,2000,-1.136677604,10
0.1,1.4175696476,2000,-1.430373358,10
