p,maxb,k,minb,group
1,-0.00604464,2000,-0.00604464,1
0.9,0.1578377352,2000,-0.173314744,1
0.8,0.2954761243,2000,-0.311031827,1
0.7,0.4829918986,2000,-0.504456151,1
0.6,0.611874024,2000,-0.633181711,1
0.5,0.6537997477,2000,-0.765191379,1
0.4,0.8038456424,2000,-0.839609587,1
0.3,1.6032590777,2000,-1.121666754,1
0.2,1.7647527114,2000,-1.270354743,1
0.1,2.063200126,2000,-2.138322431,1
1,0.0207993539,2000,0.0207993539,2
0.9,0.1924461019,2000,-0.140069222,2
0.8,0.3922208597,2000,-0.275233434,2
0.7,0.5208612283,2000,-0.457557164,2
0.6,0.6488507555,2000,-0.589594403,2
0.5,0.7825372322,2000,-0.726783097,2
0.4,0.8469325905,2000,-0.869018417,2
0.3,0.991729637,2000,-1.612062306,2
0.2,1.1958994674,2000,-1.781904233,2
0.1,1.4866115324,2000,-2.102634417,2
1,-0.004494741,2000,-0.004494741,3
0.9,0.1612981798,2000,-0.175222657,3
0.8,0.3005669782,2000,-0.315655789,3
0.7,0.4850079077,2000,-0.512710086,3
0.6,0.6180119099,2000,-0.644011826,3
0.5,0.9218097729,2000,-0.779082189,3
0.4,1.2891892909,2000,-1.629479761,3
0.3,1.4211085993,2000,-0.998040214,3
0.2,1.5851623341,2000,-1.909040068,3
0.1,1.8906636268,2000,-2.138922379,3
1,-0.030600217,2000,-0.030600217,4
0.9,0.139154515,2000,-0.195940121,4
0.8,0.2777714649,2000,-0.376778447,4
0.7,0.4510105892,2000,-0.507954733,4
0.6,0.5824655797,2000,-0.641499827,4
0.5,0.7169806823,2000,-0.778576544,4
0.4,1.1827179476,2000,-1.251616915,4
0.3,1.3121293912,2000,-1.384309961,4
0.2,1.6601082946,2000,-1.764844635,4
0.1,1.757584345,2000,-1.839517878,4
1,0.0048040476,2000,0.0048040476,5
0.9,0.1677831547,2000,-0.164045942,5
0.8,0.3666097585,2000,-0.301205006,5
0.7,0.4957200562,2000,-0.474830819,5
0.6,0.6270106289,2000,-0.603646638,5
0.5,0.6698117676,2000,-0.736029391,5
0.4,0.8208939301,2000,-1.424925386,5
0.3,0.9874180875,2000,-0.840267275,5
0.2,1.2205037469,2000,-1.712221564,5
0.1,1.5514631839,2000,-2.005582175,5
1,-0.011462027,2000,-0.011462027,6
0.9,0.1576486794,2000,-0.1747316,6
0.8,0.29673199,2000,-0.363242329,6
0.7,0.4788264177,2000,-0.494309022,6
0.6,0.6066396429,2000,-0.62610572,6
0.5,0.7397169442,2000,-1.213682018,6
0.4,0.7897579357,2000,-1.541887057,6
0.3,0.9503092984,2000,-1.383625942,6
0.2,1.170550905,2000,-1.53422357,6
0.1,1.4402121874,2000,-1.745993377,6
1,0.0415213461,2000,0.0415213461,7
0.9,0.203786838,2000,-0.124332758,7
0.8,0.340925195,2000,-0.261646346,7
0.7,0.5273468657,2000,-0.46137041,7
0.6,0.6584821157,2000,-0.591908191,7
0.5,0.7944667232,2000,-0.727994743,7
0.4,0.8547044916,2000,-597.651261,7
0.3,1.6301210163,2000,-1.033928595,7
0.2,1.7851271898,2000,-1.055640598,7
0.1,2.0306284518,2000,-1.366584425,7
1,-0.006069642,2000,-0.006069642,8
0.9,0.1615072112,2000,-0.175012897,8
0.8,0.2984594032,2000,-0.313591171,8
0.7,0.4838789894,2000,-0.483802579,8
0.6,0.613964106,2000,-0.614212264,8
0.5,0.6546603157,2000,-1.245187115,8
0.4,0.8063255407,2000,-1.252267023,8
0.3,1.5780244503,2000,-1.379931803,8
0.2,1.7404026455,2000,-1.538560025,8
0.1,2.0420682713,2000,-1.835724908,8
1,-0.027885036,2000,-0.027885036,9
0.9,0.135556989,2000,-0.189873309,9
0.8,0.2679494722,2000,-0.323566227,9
0.7,0.4381423547,2000,-0.515858775,9
0.6,0.5623349461,2000,-0.638957748,9
0.5,0.5966510885,2000,-0.675338875,9
0.4,1.2365948691,2000,-0.819425287,9
0.3,1.3592907888,2000,-0.986759412,9
0.2,1.5146500423,2000,-1.580936907,9
0.1,1.8029024462,2000,-2.204117979,9
1,-0.009268458,2000,-0.009268458,10
0.9,0.1576633587,2000,-0.171227966,10
0.8,0.2970604978,2000,-0.307926473,10
0.7,0.4848419648,2000,-0.497788292,10
0.6,0.6147264006,2000,-0.630756579,10
0.5,0.7501940687,2000,-0.768743915,10
0.4,0.7976380807,2000,-0.912380695,10
0.3,0.9579299286,2000,-0.924685019,10
0.2,1.7681879186,2000,-1.372085564,10
0.1,1.9802841931,2000,-1.791688517,10
