p,maxb,k,minb,group
1,0.008581018,2000,0.008581018,1
0.9,0.3324416922,2000,-0.283337005,1
0.8,0.4848312504,2000,-0.434949362,1
0.7,0.5322005132,2000,-0.567157729,1
0.6,0.6657167964,2000,-0.701569235,1
0.5,0.8019049214,2000,-0.692415546,1
0.4,0.9389088024,2000,-0.896107945,1
0.3,1.1011675388,2000,-1.068501064,1
0.2,1.29819011,2000,-1.638438033,1
0.1,2.8490878627,2000,-2.027958933,1
1,-0.028692195,2000,-0.028692195,2
0.9,0.3032751174,2000,-0.207338656,2
0.8,0.4462833331,2000,-0.487874922,2
0.7,0.4946345729,2000,-0.620199472,2
0.6,0.6192496885,2000,-0.739868094,2
0.5,0.7444243094,2000,-0.88226625,2
0.4,0.8932731303,2000,-1.1268369,2
0.3,1.0616899893,2000,-1.288584844,2
0.2,1.2724955936,2000,-1.482626952,2
0.1,1.4434332313,2000,-2.808763814,2
1,-0.003431402,2000,-0.003431402,3
0.9,0.3035295427,2000,-0.338723223,3
0.8,0.4462634615,2000,-0.485256427,3
0.7,0.4882868844,2000,-0.613171032,3
0.6,0.6148733423,2000,-0.88043472,3
0.5,0.740896623,2000,-0.75383705,3
0.4,0.9918686585,2000,-0.885829937,3
0.3,1.1589630474,2000,-1.036970875,3
0.2,2.0742537166,2000,-1.328453843,3
0.1,2.6618236404,2000,-2.743608888,3
1,0.0088679367,2000,0.0088679367,4
0.9,0.2787184314,2000,-0.286709638,4
0.8,0.4239296744,2000,-0.434763367,4
0.7,0.4673790036,2000,-0.476202613,4
0.6,0.597475688,2000,-0.603772271,4
0.5,0.797672589,2000,-0.826072614,4
0.4,1.2715182884,2000,-0.875268872,4
0.3,1.5748796065,2000,-1.765696361,4
0.2,1.710234609,2000,-1.895015135,4
0.1,2.1210821503,2000,-2.398543037,4
1,-0.02423713,2000,-0.02423713,5
0.9,0.3285104437,2000,-0.354235357,5
0.8,0.4754998816,2000,-0.504442269,5
0.7,0.5223269896,2000,-0.634020493,5
0.6,0.6509860435,2000,-0.759909469,5
0.5,0.7776981419,2000,-0.88508224,5
0.4,0.9199959654,2000,-1.050735219,5
0.3,1.0842654944,2000,-1.173287869,5
0.2,1.285910532,2000,-1.367256695,5
0.1,3.1588306081,2000,-1.832963804,5
1,-0.021159629,2000,-0.021159629,6
0.9,0.2680752442,2000,-0.33224565,6
0.8,0.4153754113,2000,-0.477257078,6
0.7,0.5522075674,2000,-0.607317642,6
0.6,0.5797851741,2000,-0.655180851,6
0.5,0.7910590618,2000,-0.789128375,6
0.4,0.9280514523,2000,-0.933733203,6
0.3,1.6469544863,2000,-1.096309266,6
0.2,1.7775471651,2000,-1.290368407,6
0.1,2.2368494407,2000,-2.783827363,6
1,-0.012000559,2000,-0.012000559,7
0.9,0.2775836473,2000,-0.297587498,7
0.8,0.4218331385,2000,-0.441458423,7
0.7,0.4562203455,2000,-0.57238944,7
0.6,0.5855244905,2000,-0.608969364,7
0.5,0.806191983,2000,-0.738445938,7
0.4,1.3600637355,2000,-0.875125744,7
0.3,1.7390745962,2000,-1.109288771,7
0.2,1.8717958702,2000,-1.852835264,7
0.1,2.3721728023,2000,-2.336359576,7
1,0.003109411,2000,0.003109411,8
0.9,0.3074519784,2000,-0.286557944,8
0.8,0.4573710745,2000,-0.429821402,8
0.7,0.5816882058,2000,-0.556798857,8
0.6,0.6215898884,2000,-0.555943002,8
0.5,0.746912387,2000,-0.763849792,8
0.4,0.9909957319,2000,-0.910920431,8
0.3,1.1465934246,2000,-1.626063052,8
0.2,2.0472292039,2000,-1.713442574,8
0.1,2.62307825,2000,-2.153532808,8
1,-0.025113898,2000,-0.025113898,9
0.9,0.2668384854,2000,-0.327550756,9
0.8,0.4065833041,2000,-0.467868529,9
0.7,0.4481848742,2000,-0.591246535,9
0.6,0.5702626862,2000,-0.708501414,9
0.5,0.7828403858,2000,-0.962240745,9
0.4,0.8243453725,2000,-0.715902558,9
0.3,0.978953632,2000,-1.249286276,9
0.2,1.9259977104,2000,-1.037064171,9
0.1,2.4346825591,2000,-2.787688976,9
1,-0.003793176,2000,-0.003793176,10
0.9,0.2881277072,2000,-0.316758979,10
0.8,0.4310418439,2000,-0.463597532,10
0.7,0.4696020974,2000,-0.595716192,10
0.6,0.5941342932,2000,-0.609327194,10
0.5,0.7231625757,2000,-0.734982217,10
0.4,0.9572616711,2000,-0.988061001,10
0.3,1.1129345024,2000,-1.968946005,10
0.2,1.3151762594,2000,-2.093992051,10
0.1,2.4463947356,2000,-2.667789394,10
