p,maxb,k,minb,group,maxb0,minb0,maxb2,minb2
1,-0.012760964,2000,-0.012760964,1,-0.012760964,-0.012760964,0,0
0.9,0.2559731042,2000,-0.286940395,1,-0.012760964,-0.012760964,0.2687340678,-0.274179432
0.8,0.3944296331,2000,-0.422793745,1,-0.012760964,-0.012760964,0.4071905967,-0.410032781
0.7,0.5163049463,2000,-0.544782983,1,-0.012760964,-0.012760964,0.5290659099,-0.532022019
0.6,0.5426351314,2000,-0.577630999,1,-0.012760964,-0.012760964,0.555396095,-0.564870035
0.5,0.7487117945,2000,-0.789933647,1,-0.012760964,-0.012760964,0.7614727581,-0.777172683
0.4,0.8885428387,2000,-0.917709639,1,-0.012760964,-0.012760964,0.9013038023,-0.904948675
0.3,1.6180145699,2000,-1.752887757,1,-0.012760964,-0.012760964,1.6307755335,-1.740126793
0.2,1.7375623943,2000,-1.870286225,1,-0.012760964,-0.012760964,1.7503233579,-1.857525262
0.1,1.8860411685,2000,-2.019030035,1,-0.012760964,-0.012760964,1.8988021321,-2.006269072
1,-0.00395639,2000,-0.00395639,2,-0.00395639,-0.00395639,0,0
0.9,0.2725903805,2000,-0.257196191,2,-0.00395639,-0.00395639,0.2765467706,-0.253239801
0.8,0.4115724918,2000,-0.397397403,2,-0.00395639,-0.00395639,0.4155288819,-0.393441013
0.7,0.5330815875,2000,-0.52244783,2,-0.00395639,-0.00395639,0.5370379776,-0.51849144
0.6,0.5613353313,2000,-0.729821501,2,-0.00395639,-0.00395639,0.5652917214,-0.72586511
0.5,0.6782288156,2000,-0.728677811,2,-0.00395639,-0.00395639,0.6821852057,-0.724721421
0.4,0.8126057705,2000,-0.87394922,2,-0.00395639,-0.00395639,0.8165621606,-0.86999283
0.3,1.0537773627,2000,-1.556423848,2,-0.00395639,-0.00395639,1.0577337528,-1.552467458
0.2,1.1514536294,2000,-1.672594442,2,-0.00395639,-0.00395639,1.1554100195,-1.668638052
0.1,1.9880002718,2000,-1.810648509,2,-0.00395639,-0.00395639,1.9919566619,-1.806692119
1,-0.016404475,2000,-0.016404475,3,-0.016404475,-0.016404475,0,0
