p,maxb,k,minb,group
1,0.0061018795,2000,0.0061018795,1
0.9,0.1378025807,2000,-0.127478445,1
0.8,0.2468742059,2000,-0.23754225,1
0.7,0.3518353883,2000,-0.340887679,1
0.6,0.4586230589,2000,-0.445531813,1
0.5,0.5673683988,2000,-0.555157335,1
0.4,0.6853151333,2000,-0.674446673,1
0.3,0.8204393194,2000,-0.80530023,1
0.2,0.9912415253,2000,-0.967604613,1
0.1,1.236635672,2000,-1.207621776,1
1,-0.020363501,2000,-0.020363501,2
0.9,0.1114217826,2000,-0.156588825,2
0.8,0.2163239623,2000,-0.266284869,2
0.7,0.3180065964,2000,-0.364949835,2
0.6,0.4192918587,2000,-0.464270617,2
0.5,0.5271219621,2000,-0.5678993,2
0.4,0.6472549114,2000,-0.681608793,2
0.3,0.7883663004,2000,-0.814607109,2
0.2,0.9739426298,2000,-0.97777063,2
0.1,1.2340759787,2000,-1.234737685,2
1,-0.002901344,2000,-0.002901344,3
0.9,0.1252236295,2000,-0.134404357,3
0.8,0.2280260011,2000,-0.23966361,3
0.7,0.3287428026,2000,-0.338201777,3
0.6,0.4300462032,2000,-0.435982514,3
0.5,0.5346440627,2000,-0.540447375,3
0.4,0.6484766917,2000,-0.654083162,3
0.3,0.7841817724,2000,-0.781443265,3
0.2,0.9547336935,2000,-0.937206104,3
0.1,1.2089003039,2000,-1.184265816,3
1,0.0046805283,2000,0.0046805283,4
0.9,0.1308399126,2000,-0.126013597,4
0.8,0.2389231316,2000,-0.233980499,4
0.7,0.3415754826,2000,-0.336348472,4
0.6,0.4434130547,2000,-0.436480573,4
0.5,0.5503843572,2000,-0.541072361,4
0.4,0.6681736749,2000,-0.6551897,4
0.3,0.8051326289,2000,-0.786113684,4
0.2,0.9699479416,2000,-0.942884663,4
0.1,1.2093458014,2000,-1.159023321,4
1,-0.018053641,2000,-0.018053641,5
0.9,0.1149270839,2000,-0.151306939,5
0.8,0.2217982056,2000,-0.259190063,5
0.7,0.3228928062,2000,-0.360157587,5
0.6,0.4257391358,2000,-0.461141171,5
0.5,0.5318288362,2000,-0.567929228,5
0.4,0.6483335765,2000,-0.6855071,5
0.3,0.7849093485,2000,-0.818308783,5
0.2,0.9571040648,2000,-0.988048437,5
0.1,1.2096143119,2000,-1.243124927,5
1,-0.01680619,2000,-0.01680619,6
0.9,0.1162923775,2000,-0.144964242,6
0.8,0.2239707571,2000,-0.252843786,6
0.7,0.3273420864,2000,-0.356526975,6
0.6,0.4310502707,2000,-0.461791653,6
0.5,0.539251597,2000,-0.572876069,6
0.4,0.6524143347,2000,-0.690361194,6
0.3,0.7806408421,2000,-0.824622705,6
0.2,0.9379630728,2000,-0.990506511,6
0.1,1.1648829374,2000,-1.243079622,6
1,-0.006326495,2000,-0.006326495,7
0.9,0.1217224747,2000,-0.137265582,7
0.8,0.2254604918,2000,-0.242229238,7
0.7,0.3255198938,2000,-0.343147486,7
0.6,0.4293340288,2000,-0.445077331,7
0.5,0.5373305783,2000,-0.549978958,7
0.4,0.6535646911,2000,-0.66156568,7
0.3,0.7842974086,2000,-0.785349706,7
0.2,0.9478658977,2000,-0.944052591,7
0.1,1.2005197742,2000,-1.187175691,7
1,0.0019521629,2000,0.0019521629,8
0.9,0.1341723391,2000,-0.129065376,8
0.8,0.2392000373,2000,-0.233292355,8
0.7,0.3387203795,2000,-0.331835578,8
0.6,0.4393408705,2000,-0.431364551,8
0.5,0.5416132794,2000,-0.537821933,8
0.4,0.6536726488,2000,-0.655895114,8
0.3,0.7854892474,2000,-0.788524734,8
0.2,0.9534951801,2000,-0.957615556,8
0.1,1.2094480145,2000,-1.216470281,8
1,-0.020900027,2000,-0.020900027,9
0.9,0.1060903465,2000,-0.146612339,9
0.8,0.2068922685,2000,-0.248285844,9
0.7,0.3028302104,2000,-0.344289499,9
0.6,0.4004056389,2000,-0.441731347,9
0.5,0.5016285601,2000,-0.543421227,9
0.4,0.6121193639,2000,-0.654621879,9
0.3,0.7384222863,2000,-0.780961403,9
0.2,0.8991966823,2000,-0.942679382,9
0.1,1.138662485,2000,-1.192111462,9
1,-0.00349421,2000,-0.00349421,10
0.9,0.1250782549,2000,-0.131141123,10
0.8,0.2289852551,2000,-0.236084133,10
0.7,0.3266211075,2000,-0.335719362,10
0.6,0.426348279,2000,-0.435973366,10
0.5,0.5315835964,2000,-0.538578197,10
0.4,0.6469676175,2000,-0.649774299,10
0.3,0.7764762466,2000,-0.778457689,10
0.2,0.937500827,2000,-0.943995142,10
0.1,1.1736600634,2000,-1.18897684,10
