p,maxb,k,minb,group
1,-0.006073999,2000,-0.006073999,1
0.9,0.1475728034,2000,-0.163729418,1
0.8,0.2749202718,2000,-0.290991438,1
0.7,0.3965183652,2000,-0.41214951,1
0.6,0.5153307757,2000,-0.531215589,1
0.5,0.6418532114,2000,-0.653904796,1
0.4,0.7834199895,2000,-0.789961771,1
0.3,0.9461830178,2000,-0.950205449,1
0.2,1.1442902029,2000,-1.140743861,1
0.1,1.4413802973,2000,-1.417467293,1
1,0.0208556057,2000,0.0208556057,2
0.9,0.1817937834,2000,-0.129751171,2
0.8,0.3074837584,2000,-0.255423711,2
0.7,0.4259202142,2000,-0.377686114,2
0.6,0.5462435354,2000,-0.500418019,2
0.5,0.6699146524,2000,-0.628123973,2
0.4,0.8045408834,2000,-0.769008275,2
0.3,0.9555249292,2000,-0.929023053,2
0.2,1.1366530975,2000,-1.136345632,2
0.1,1.4048507486,2000,-1.456136471,2
1,-0.003990308,2000,-0.003990308,3
0.9,0.1520858982,2000,-0.163712243,3
0.8,0.2812366785,2000,-0.294818229,3
0.7,0.4051016923,2000,-0.417060693,3
0.6,0.5273571134,2000,-0.538430756,3
0.5,0.6572226873,2000,-0.66512743,3
0.4,0.7994503767,2000,-0.802621869,3
0.3,0.9646028716,2000,-0.963287876,3
0.2,1.1700215101,2000,-1.155647669,3
0.1,1.8682845739,2000,-1.437272421,3
1,-0.028894594,2000,-0.028894594,4
0.9,0.1300495007,2000,-0.184565789,4
0.8,0.2587381758,2000,-0.311655382,4
0.7,0.381101173,2000,-0.433817223,4
0.6,0.5043734449,2000,-0.556984616,4
0.5,0.6301090954,2000,-0.687909313,4
0.4,0.7650099082,2000,-0.830574389,4
0.3,0.9207360928,2000,-0.990385407,4
0.2,1.1128270918,2000,-1.190100502,4
0.1,1.4006786134,2000,-1.487893402,4
1,0.0057615342,2000,0.0057615342,5
0.9,0.1582270418,2000,-0.152213512,5
0.8,0.2823756992,2000,-0.27982734,5
0.7,0.4012093174,2000,-0.398169728,5
0.6,0.523929471,2000,-0.517019249,5
0.5,0.6541385439,2000,-0.64267681,5
0.4,0.7917012327,2000,-0.773256636,5
0.3,0.9530113561,2000,-0.921666304,5
0.2,1.1588212879,2000,-1.111372075,5
0.1,1.6077104447,2000,-1.664099427,5
1,-0.009510121,2000,-0.009510121,6
0.9,0.1488975997,2000,-0.162808468,6
0.8,0.2771353222,2000,-0.289069235,6
0.7,0.3979334096,2000,-0.40917053,6
0.6,0.5163369597,2000,-0.531049601,6
0.5,0.639903724,2000,-0.658914036,6
0.4,0.7745743833,2000,-0.800056177,6
0.3,0.9277696982,2000,-0.964960236,6
0.2,1.1194216116,2000,-1.166793178,6
0.1,1.3987083241,2000,-1.463710674,6
1,0.0392052585,2000,0.0392052585,7
0.9,0.1915706676,2000,-0.116527634,7
0.8,0.3190716425,2000,-0.243902541,7
0.7,0.4418867723,2000,-0.363505337,7
0.6,0.5637558844,2000,-0.484223739,7
0.5,0.6900421837,2000,-0.611556175,7
0.4,0.8261195439,2000,-0.749394778,7
0.3,0.9836065324,2000,-0.90513548,7
0.2,1.1823646128,2000,-1.090953063,7
0.1,1.469360804,2000,1.469360804,7
1,-0.005803756,2000,-0.005803756,8
0.9,0.1508754363,2000,-0.164217159,8
0.8,0.278048162,2000,-0.293185995,8
0.7,0.3986982813,2000,-0.412901068,8
0.6,0.5187917708,2000,-0.531206701,8
0.5,0.644852688,2000,-0.656382089,8
0.4,0.7840809194,2000,-0.794474033,8
0.3,0.9488332503,2000,-0.954395878,8
0.2,1.1544337466,2000,-1.151906217,8
0.1,1.4484171808,2000,-1.595521849,8
1,-0.024550383,2000,-0.024550383,9
0.9,0.1293727297,2000,-0.176540586,9
0.8,0.2524188243,2000,-0.300051037,9
0.7,0.3686936888,2000,-0.417069548,9
0.6,0.4838453518,2000,-0.531115344,9
0.5,0.6047127555,2000,-0.653826631,9
0.4,0.7370650943,2000,-0.788919513,9
0.3,0.8960778623,2000,-0.946860329,9
0.2,1.0881313927,2000,-1.143104611,9
0.1,1.3719121009,2000,-1.438353062,9
1,-0.008404342,2000,-0.008404342,10
0.9,0.1480420151,2000,-0.160314591,10
0.8,0.2771929241,2000,-0.287867866,10
0.7,0.3993441182,2000,-0.410176525,10
0.6,0.5200572792,2000,-0.533311602,10
0.5,0.6450823542,2000,-0.661890663,10
0.4,0.7807326279,2000,-0.802874101,10
0.3,0.9338135533,2000,-0.964556537,10
0.2,1.1201326002,2000,-1.161483876,10
0.1,1.5361029516,2000,-1.588480368,10
