p,maxb,k,minb,group
1,0.0096137659,2000,0.0096137659,1
0.9,0.1754447673,2000,-0.153664868,1
0.8,0.313234186,2000,-0.28678994,1
0.7,0.4426521766,2000,-0.415308504,1
0.6,0.5706813127,2000,-0.545568852,1
0.5,0.70190684,2000,-0.682668871,1
0.4,0.8441624093,2000,-0.833765532,1
0.3,1.0058308146,2000,-1.005554531,1
0.2,1.2059098157,2000,-1.215557578,1
0.1,1.5075912778,2000,-1.511457051,1
1,-0.032363012,2000,-0.032363012,2
0.9,0.1282916268,2000,-0.199200333,2
0.8,0.2589533669,2000,-0.332496777,2
0.7,0.3837447485,2000,-0.456379267,2
0.6,0.5091567425,2000,-0.578991822,2
0.5,0.6415288975,2000,-0.70633395,2
0.4,0.7893668879,2000,-0.846416592,2
0.3,0.961747005,2000,-1.008027156,2
0.2,1.178837182,2000,-1.208293615,2
0.1,1.4977103932,2000,-1.506704903,2
1,-0.001286083,2000,-0.001286083,3
0.9,0.1589796472,2000,-0.166427969,3
0.8,0.2889777249,2000,-0.297370652,3
0.7,0.4126467342,2000,-0.420737463,3
0.6,0.5381279892,2000,-0.543979584,3
0.5,0.6696076212,2000,-0.672180925,3
0.4,0.8145311369,2000,-0.81220414,3
0.3,0.9821841517,2000,-0.971863318,3
0.2,1.1937239602,2000,-1.173016691,3
0.1,1.5135508232,2000,-1.472214733,3
1,0.0189491624,2000,0.0189491624,4
0.9,0.1815706146,2000,-0.142201197,4
0.8,0.314402551,2000,-0.274753972,4
0.7,0.4391861686,2000,-0.401260719,4
0.6,0.5643934285,2000,-0.527814323,4
0.5,0.6970391804,2000,-0.659207162,4
0.4,0.8408803732,2000,-0.800987599,4
0.3,1.0041785708,2000,-0.966337733,4
0.2,1.2044437653,2000,-1.173545648,4
0.1,1.4978233614,2000,-1.473130251,4
1,-0.022612982,2000,-0.022612982,5
0.9,0.1411795172,2000,-0.183608231,5
0.8,0.2725271628,2000,-0.31550639,5
0.7,0.397344125,2000,-0.44021715,5
0.6,0.522244634,2000,-0.565396859,5
0.5,0.6521649656,2000,-0.697388214,5
0.4,0.7933382338,2000,-0.841676936,5
0.3,0.9565351459,2000,-1.007251229,5
0.2,1.1596345611,2000,-1.21385514,5
0.1,1.4548313609,2000,-1.525251886,5
1,-0.013946922,2000,-0.013946922,6
0.9,0.1493566879,2000,-0.171265437,6
0.8,0.281480542,2000,-0.300632612,6
0.7,0.406001743,2000,-0.425201868,6
0.6,0.5298414118,2000,-0.550915046,6
0.5,0.6558688515,2000,-0.683843029,6
0.4,0.7932854721,2000,-0.8314,6
0.3,0.9503811007,2000,-0.998562944,6
0.2,1.1434582602,2000,-1.206310138,6
0.1,1.4304352363,2000,-1.512259713,6
1,-0.025684282,2000,-0.025684282,7
0.9,0.1312383389,2000,-0.186469311,7
0.8,0.2627210823,2000,-0.317555864,7
0.7,0.3889358197,2000,-0.442452712,7
0.6,0.5166069456,2000,-0.568945418,7
0.5,0.6485446762,2000,-0.699910314,7
0.4,0.7909824337,2000,-0.84089912,7
0.3,0.9515125933,2000,-0.997865704,7
0.2,1.1525027652,2000,-1.189986083,7
0.1,1.4498789788,2000,-1.466475077,7
1,0.0049194859,2000,0.0049194859,8
0.9,0.1709923883,2000,-0.152981486,8
0.8,0.3015964054,2000,-0.282111437,8
0.7,0.422727601,2000,-0.405798018,8
0.6,0.5454849256,2000,-0.530466823,8
0.5,0.673002769,2000,-0.663237035,8
0.4,0.8097778074,2000,-0.807704895,8
0.3,0.967997383,2000,-0.97470509,8
0.2,1.1637141701,2000,-1.192455557,8
0.1,1.4545346875,2000,-1.518321539,8
1,-0.011267465,2000,-0.011267465,9
0.9,0.1432723526,2000,-0.168865673,9
0.8,0.2689845872,2000,-0.298324039,9
0.7,0.3912221579,2000,-0.421163362,9
0.6,0.5149161848,2000,-0.541806192,9
0.5,0.6457685869,2000,-0.66830291,9
0.4,0.7863504237,2000,-0.802308326,9
0.3,0.949908463,2000,-0.955149777,9
0.2,1.1476684169,2000,-1.14294578,9
0.1,1.4356092568,2000,-1.430588787,9
1,0.0001698218,2000,0.0001698217,10
0.9,0.1591605635,2000,-0.158736662,10
0.8,0.2884666768,2000,-0.290553011,10
0.7,0.4120998983,2000,-0.415728706,10
0.6,0.5362308306,2000,-0.539757368,10
0.5,0.6680964782,2000,-0.667756928,10
0.4,0.8118475739,2000,-0.805697282,10
0.3,0.9753435601,2000,-0.96573976,10
0.2,1.1737553978,2000,-1.163682722,10
0.1,1.4587989326,2000,-1.459265025,10
