"study","TP","FN","FP","TN"
1,12.5,0.5,29.5,289.5
2,10.5,2.5,14.5,72.5
3,17.5,1.5,36.5,85.5
4,13.5,0.5,18.5,67.5
5,4.5,0.5,21.5,225.5
6,15.5,2.5,122.5,403.5
7,45.5,5.5,28.5,34.5
8,18.5,4.5,69.5,133.5
9,5.5,0.5,11.5,34.5
10,8.5,9.5,15.5,96.5
11,5.5,0.5,7.5,63.5
12,11.5,2.5,122.5,610.5
13,5.5,1.5,6.5,145.5
14,7.5,5.5,25.5,342.5
15,10.5,1.5,93.5,296.5
16,5.5,5.5,41.5,271.5
17,5.5,0.5,15.5,53.5
18,55.5,13.5,19.5,913.5
19,6.5,2.5,12.5,30.5
20,42.5,26.5,19.5,913.5
21,5.5,3.5,5.5,37.5
22,13.5,0.5,11.5,125.5
23,20.5,0.5,24.5,287.5
24,7.5,6.5,13.5,72.5
25,48.5,2.5,15.5,47.5
26,11.5,1.5,14.5,72.5
27,15.5,5.5,32.5,170.5
28,68.5,13.5,5.5,11.5
29,13.5,1.5,5.5,72.5
30,8.5,3.5,66.5,323.5
31,13.5,1.5,98.5,293.5
32,14.5,1.5,0.5,155.5
33,8.5,2.5,4.5,60.5
