"study","ty","n1","n0","s1","s0","u_lnHR","v_lnHR","t_lnHR","u_sen","u_spe","v_sen","v_spe","v_senspe","v_senlnHR","v_spelnHR"
1,3,94,13,0.92,0.96,1.01160091167848,0.255221239839787,2.00239985439217,2.67149260536841,-1.93578581038967,2.20988101688617,0.092067491698093,0.00725574935188525,-0.000127828429935794,-5.25491177347845e-06
4,3,122,122,0.85,0.92,0.667829372575655,0.147225892628762,1.74049755800029,0.628608659422375,0.0791373205587238,0.175422101286576,0.0188450584927414,0.00217698220297026,3.46363506850539e-05,4.66606597811947e-06
5,3,66,45,0.78,0.95,1.11185751541813,0.305480069837072,2.01167442828364,1.86459679318032,-0.185824187345157,0.601838707747513,0.0437030594900307,0.00657441731289514,0.000899868284580898,9.0662634960048e-05
6,3,40,35,0.55,0.72,0.322083499169113,0.139930199676668,0.861019027372116,0.607989372219638,0.135801541159062,0.174753495428229,0.0898395548058261,0.00841835890300313,0.000849131825410214,0.00044850526131701
7,3,13,34,0.84,1,2.84665205053984,1.00167012029429,2.844277898286,1.45450261114643,1.1213758168473,0.601585627617307,0.124303124113797,-0.0120013585835597,-0.0249416919196353,0.000396618815734065
8,3,84,62,0.88,0.99,0.593326845277734,0.226693710811723,1.24616130810856,2.78858906358622,-0.185899378141839,1.8632242444601,0.0300154300921632,0.00275484033556653,0.000160278387789211,9.4951127904075e-06
11,3,56,56,0.89,0.96,1.06471073699243,0.211231931049193,2.31660425153063,1.01160091167848,0.0757118217356962,0.660585057636594,0.0389890224165513,0.00357301198312138,8.19556555440101e-05,7.75222827598738e-06
15,3,153,168,0.8,0.86,0.300104592450338,0.0217296894573243,2.0358504930841,0.263148885927909,0.165846719590449,0.0839944468363129,0.0154744899586913,0.00179565119083483,1.70313617925269e-06,3.76551525919591e-07
16,3,54,64,0.91,0.98,1.22671229129543,0.193039650888181,2.79202597966025,1.33417835998088,0.244007008949119,1.14057622990851,0.0366126926188825,0.00526990575973884,0.000117514927315423,7.70484503110886e-06
18,3,23,44,0.6,0.809090909,1.43270073393405,0.411280211288802,2.23401752868862,0.0909717777295361,0.947677045582466,0.253953519972944,0.104907271518213,0.00939106165063713,0.00284489585578426,0.00148654805232984
