p,maxb,k,minb,as
1,0.0303137973,1000,0.0303137973,1
0.9,0.2434952148,1000,-0.189536442,1
0.8,0.4230887389,1000,-0.362097757,1
0.7,0.5973712219,1000,-0.526864188,1
0.6,0.7647541118,1000,-0.693151585,1
0.5,0.9325469562,1000,-0.87191926,1
0.4,1.1159643229,1000,-1.071799565,1
0.3,1.331601444,1000,-1.294028827,1
0.2,1.6026768687,1000,-1.543501877,1
0.1,2.0161970357,1000,-1.895563193,1
1,0.0303137974,1000,0.0303137973,2
0.9,0.2434951772,1000,-0.189536432,2
0.8,0.4230887497,1000,-0.362097745,2
0.7,0.5973711125,1000,-0.526864148,2
0.6,0.7647535479,1000,-0.693151602,2
0.5,0.9325469747,1000,-0.871919752,2
0.4,1.1159643046,1000,-1.071799566,2
0.3,1.3316014425,1000,-1.294028838,2
0.2,1.6026766658,1000,-1.543501872,2
0.1,3.3003836716,1000,-3.304195548,2
1,0.0303137974,1000,0.0303137973,3
0.9,0.2434951904,1000,-0.189536447,3
0.8,0.4230887399,1000,-0.362097698,3
0.7,0.5973712234,1000,-0.526864187,3
0.6,0.7647541129,1000,-0.693151592,3
0.5,0.9325469608,1000,-0.871919637,3
0.4,1.1159643215,1000,-1.071799566,3
0.3,1.3316014431,1000,-1.29402883,3
0.2,1.6026767558,1000,-1.543501878,3
0.1,1.9988907312,1000,-1.895563193,3
