p,maxb,k,minb,as
1,0.014918299,1000,0.0149182894,1
0.9,0.1320241312,1000,-0.105498992,1
0.8,0.2311462493,1000,-0.414786589,1
0.7,0.3264827281,1000,-0.523540644,1
0.6,0.6414434822,1000,-0.588464762,1
0.5,0.7330993103,1000,-0.6760121,1
0.4,0.8229736244,1000,-0.770928142,1
0.3,0.9232079683,1000,-0.879263332,1
0.2,1.0491716988,1000,-1.002598861,1
0.1,1.2330803512,1000,-1.163416594,1
1,0.014918299,1000,0.0149182891,2
0.9,0.1315330313,1000,-0.105142067,2
0.8,0.2297302821,1000,-0.199657623,2
0.7,0.3256803462,1000,-0.289548338,2
0.6,0.4169664332,1000,-0.380875837,2
0.5,0.5086139914,1000,-0.478777552,2
0.4,0.6088357927,1000,-0.588380229,2
0.3,0.7259440099,1000,-0.710796912,2
0.2,0.8745796393,1000,-0.845689061,2
0.1,1.0903851249,1000,-1.038236345,2
1,0.014918299,1000,0.0149182891,3
0.9,0.1315330461,1000,-0.105142138,3
0.8,0.2297302835,1000,-0.199657622,3
0.7,0.3256803473,1000,-0.289548338,3
0.6,0.4169664983,1000,-0.380875799,3
0.5,0.5086139913,1000,-0.478777542,3
0.4,0.6088357876,1000,-0.588380231,3
0.3,0.7259440144,1000,-0.710796916,3
0.2,0.8745796387,1000,-0.845689061,3
0.1,1.0903864717,1000,-1.038236305,3
