p,maxb,k,minb,as
1,0.0367643451,1000,0.0367643451,1
0.9,0.2111802919,1000,-0.142755558,1
0.8,0.3535180036,1000,-0.281161937,1
0.7,0.4891972568,1000,-0.417572228,1
0.6,0.6262581899,1000,-0.554769476,1
0.5,0.7707311264,1000,-0.697204731,1
0.4,0.9255370765,1000,-0.84898079,1
0.3,1.1008364793,1000,-1.022837372,1
0.2,1.317314362,1000,-1.23910353,1
0.1,1.6760600986,1000,-1.556672617,1
1,0.0367643451,1000,0.0367643451,2
0.9,0.3459465924,1000,-0.278275509,2
0.8,0.451986528,1000,-0.428608274,2
0.7,0.5854914481,1000,-0.495386543,2
0.6,0.7127924898,1000,-0.62590306,2
0.5,0.8440891728,1000,-0.761418693,2
0.4,0.9929481157,1000,-1.016916672,2
0.3,1.1592185912,1000,-1.039834525,2
0.2,2.2092177316,1000,-1.299766625,2
0.1,2.7924157228,1000,-1.653468945,2
1,0.0367643451,1000,0.0367643451,3
0.9,0.2111802972,1000,-0.142755563,3
0.8,0.3535190186,1000,-0.281161955,3
0.7,0.4891975435,1000,-0.41757352,3
0.6,0.6262583722,1000,-0.554769425,3
0.5,0.7707324326,1000,-0.69720409,3
0.4,0.9255370886,1000,-0.848980758,3
0.3,1.1008363251,1000,-1.022837435,3
0.2,1.3173143249,1000,-1.23910366,3
0.1,1.6760600943,1000,-1.556672608,3
