p,maxb,k,minb,as
1,0.0312244412,1000,0.0312244412,1
0.9,0.17345608,1000,-0.115365155,1
0.8,0.2935063673,1000,-0.232113098,1
0.7,0.4078645777,1000,-0.347216131,1
0.6,0.5237756152,1000,-0.463183149,1
0.5,0.6457008748,1000,-0.583254009,1
0.4,0.7766025049,1000,-0.711373249,1
0.3,0.9245222936,1000,-0.858045728,1
0.2,1.1072220978,1000,-1.040586514,1
0.1,1.4107930675,1000,-1.309535105,1
1,0.0312244412,1000,0.0312244412,2
0.9,0.1734609368,1000,-0.115352017,2
0.8,0.2934997287,1000,-0.232099213,2
0.7,0.4078036043,1000,-0.347163724,2
0.6,0.5237485472,1000,-0.463162473,2
0.5,0.6457166687,1000,-0.58326399,2
0.4,0.7765714852,1000,-0.711375513,2
0.3,0.9245379952,1000,-0.858051369,2
0.2,1.0849294481,1000,-1.040598849,2
0.1,1.6560431926,1000,-1.382914298,2
1,0.0312244412,1000,0.0312244412,3
0.9,0.1734540797,1000,-0.115374286,3
0.8,0.2935064465,1000,-0.23211108,3
0.7,0.4078611832,1000,-0.347212848,3
0.6,0.5237742514,1000,-0.463181865,3
0.5,0.6457013372,1000,-0.583254553,3
0.4,0.7766019509,1000,-0.711373746,3
0.3,0.9245187774,1000,-0.858044047,3
0.2,1.1072219586,1000,-1.040586228,3
0.1,1.4107954839,1000,-1.309535672,3
