p,maxb,k,minb,as
1,0.0513276586,1000,0.0513276586,1
0.9,0.2447844469,1000,-0.14719835,1
0.8,0.4053655439,1000,-0.307720248,1
0.7,0.5588679488,1000,-0.463551153,1
0.6,0.7117637998,1000,-0.617657603,1
0.5,0.8764125803,1000,-0.773701364,1
0.4,1.0595270135,1000,-0.943966506,1
0.3,1.2655208858,1000,-1.145477828,1
0.2,1.5157841765,1000,-1.39297177,1
0.1,1.9136029481,1000,-1.76497621,1
1,0.0513276586,1000,0.0513276586,2
0.9,0.2701175494,1000,-0.17156434,2
0.8,0.4279186432,1000,-0.328785954,2
0.7,0.5767885537,1000,-0.482022256,2
0.6,0.736293478,1000,-0.633873516,2
0.5,0.7533875486,1000,-0.654519,2
0.4,0.9229552803,1000,-0.812994833,2
0.3,1.1620456464,1000,-1.00480717,2
0.2,1.4093812935,1000,-1.242459228,2
0.1,1.8195813462,1000,-1.668788028,2
1,0.0513276586,1000,0.0513276586,3
0.9,0.2447847746,1000,-0.147200832,3
0.8,0.405365883,1000,-0.307719743,3
0.7,0.5588679223,1000,-0.463561396,3
0.6,0.7117637095,1000,-0.617657654,3
0.5,0.8763797848,1000,-0.77368948,3
0.4,1.059526944,1000,-0.943967404,3
0.3,1.2655208897,1000,-1.145477704,3
0.2,1.515784541,1000,-1.392971713,3
0.1,1.9136025137,1000,-1.764976157,3
