p,maxb,k,minb,as
1,0.0534761957,1000,0.0534761953,1
0.9,0.3206283825,1000,-0.221241144,1
0.8,0.5381813366,1000,-0.432384256,1
0.7,0.7443569276,1000,-0.638551953,1
0.6,0.9521013911,1000,-0.84628271,1
0.5,1.1707101161,1000,-1.063757687,1
0.4,1.4035663974,1000,-1.294913794,1
0.3,1.6694165023,1000,-1.559786837,1
0.2,1.999637552,1000,-1.888064067,1
0.1,2.5331893884,1000,-2.358157608,1
1,0.0534761956,1000,0.0534761953,2
0.9,0.3206289,1000,-0.221241186,2
0.8,0.538181238,1000,-0.432384261,2
0.7,0.7443569209,1000,-0.638551994,2
0.6,0.9521013851,1000,-0.846282671,2
0.5,1.1707100499,1000,-1.063757758,2
0.4,1.4035663905,1000,-1.294913824,2
0.3,1.6694163311,1000,-1.559786787,2
0.2,1.9996378336,1000,-1.888064216,2
0.1,2.5157620572,1000,-2.358158142,2
1,0.0534761953,1000,0.0534761953,3
0.9,0.3206289091,1000,-0.221241174,3
0.8,0.5381813005,1000,-0.432384261,3
0.7,0.7443569216,1000,-0.638551988,3
0.6,0.9521013891,1000,-0.846282698,3
0.5,1.17071005,1000,-1.063757741,3
0.4,1.4035663937,1000,-1.294913808,3
0.3,1.6694164092,1000,-1.559786826,3
0.2,1.9996379003,1000,-1.888064346,3
0.1,2.5157748267,1000,-2.358157768,3
