p,maxb,k,minb,as
1,0.0283493746,1000,0.0283493746,1
0.9,0.1747386437,1000,-0.122155976,1
0.8,0.2962771983,1000,-0.2398433,1
0.7,0.4110437675,1000,-0.353819629,1
0.6,0.5263823343,1000,-0.468879317,1
0.5,0.6465920871,1000,-0.589894487,1
0.4,0.7750912442,1000,-0.719594146,1
0.3,0.9224700554,1000,-0.866996831,1
0.2,1.106508385,1000,-1.048743225,1
0.1,1.3972165605,1000,-1.30352482,1
1,0.0283493746,1000,0.0283493746,2
0.9,0.1747380832,1000,-0.122155893,2
0.8,0.2962771389,1000,-0.239843286,2
0.7,0.4110438203,1000,-0.353819607,2
0.6,0.5263823016,1000,-0.468880957,2
0.5,0.6465921019,1000,-0.589893344,2
0.4,0.7750926388,1000,-0.719594139,2
0.3,0.9224699995,1000,-0.866996631,2
0.2,1.1065083652,1000,-1.048743293,2
0.1,1.3972164409,1000,-1.303524789,2
1,0.0283493746,1000,0.0283493746,3
0.9,0.1747386417,1000,-0.122155976,3
0.8,0.2962771919,1000,-0.239843251,3
0.7,0.411043768,1000,-0.353819621,3
0.6,0.5263823337,1000,-0.46887858,3
0.5,0.6465920909,1000,-0.589894902,3
0.4,0.7750912436,1000,-0.719594144,3
0.3,0.9224700558,1000,-0.866996818,3
0.2,1.1065083852,1000,-1.048743222,3
0.1,1.3972165618,1000,-1.303524819,3
