"Test","study","TP","FP","FN","TN"
"CT",1,25.5,4.5,0.5,19.5
"CT",2,57,12,2,79
"CT",3,17.5,0.5,0.5,44.5
"CT",4,64.5,4.5,0.5,32.5
"CT",5,12.5,2.5,0.5,8.5
"CT",6,73.5,5.5,0.5,22.5
"CT",7,52,30,3,142
"CT",8,20.5,1.5,0.5,51.5
"CT",9,13,1,1,5
"CT",10,18.5,0.5,1.5,7.5
"CT",11,77,13,7,16
"CT",12,9.5,1.5,0.5,23.5
"CT",13,42,4,12,30
"CT",14,31,3,2,26
"CT",15,62,5,4,46
"CT",16,11.5,1.5,0.5,17.5
"CT",17,59,1,1,6
"CT",18,33,2,3,5
"CT",19,58,58,1,70
"CT",20,16,2,1,48
"CT",21,29,11,6,13
"CT",22,28,2,1,35
"CT",23,11.5,9.5,0.5,35.5
"CT",24,29.5,0.5,1.5,10.5
"CT",25,19,1,1,9
"CT",26,72,10,13,16
"CT",27,101,35,1,106
"CT",28,12,1,1,6
"CT",29,28.5,0.5,0.5,12.5
"CT",30,19.5,6.5,0.5,30.5
"CT",31,16.5,1.5,0.5,23.5
"CT",32,18.5,2.5,0.5,10.5
"CT",33,19,3,2,9
"CT",34,43,2,2,28
"CT",35,17.5,2.5,0.5,16.5
"CT",36,97,18,16,18
"CT",37,32,6,2,12
"CT",38,33,8,1,8
"CT",39,11,2,2,25
"CT",40,25,2,1,40
"CT",41,20,7,1,60
"CT",42,47.5,0.5,0.5,20.5
"CT",43,69,8,2,35
"CT",44,35,5,1,33
"CT",45,15,2,1,2
"CT",46,3.5,0.5,0.5,12.5
"CT",47,179,17,12,119
"CT",48,43.5,9.5,0.5,9.5
"CT",49,75,5,2,65
"CT",50,18.5,4.5,0.5,48.5
"CT",51,88.5,4.5,0.5,12.5
"CT",52,244,41,2,73
"CT",53,139,13,24,115
"CT",54,41,11,10,20
"CT",55,106.5,3.5,0.5,18.5
"CT",56,31.5,3.5,0.5,17.5
"CT",57,38.5,1.5,0.5,12.5
"CT",58,30,2,5,21
"CT",59,32.5,1.5,0.5,24.5
"CT",60,4,3,1,52
"CT",61,38,6,1,23
"CT",62,15.5,0.5,3.5,13.5
"CT",63,62.5,0.5,0.5,18.5
"CT",64,8,1,1,5
"CT",65,66.5,7.5,0.5,43.5
"CT",66,56,5,4,31
"CT",67,42,5,5,34
"CT",68,16,7,1,53
"CT",69,25.5,1.5,0.5,9.5
"CT",70,53,4,1,42
"CT",71,38,3,2,27
"CT",72,12,6,1,21
"CT",73,40.5,6.5,0.5,30.5
"CT",74,49.5,37.5,0.5,15.5
"CT",75,43.5,2.5,0.5,123.5
"CT",76,35,8,6,28
"CT",77,25,5,1,50
"CT",78,41,11,1,47
"CT",79,14.5,0.5,1.5,15.5
"CT",80,13.5,2.5,0.5,35.5
"CT",81,66.5,4.5,0.5,50.5
"CT",82,29,1,2,28
"CT",83,104,10,4,20
"CT",84,55.5,2.5,0.5,43.5
"CT",85,50,5,1,22
"CT",86,116,2,2,33
"CT",87,32,6,4,6
"CT",88,44,3,1,37
"CT",89,76,3,1,20
"MRI",90,7.5,1.5,0.5,1.5
"MRI",91,12,3,3,1
"MRI",92,21.5,0.5,4.5,3.5
"MRI",93,42,2,7,39
"MRI",94,17,1,2,6
"MRI",95,18,5,4,13
"MRI",96,11,8,6,33
"MRI",97,42,15,5,7
"MRI",98,30,9,4,9
"MRI",99,56,25,4,18
"MRI",100,20,11,2,13
"MRI",101,18,15,8,27
"MRI",102,15,1,1,3
"MRI",103,13,6,2,8
"MRI",104,17.5,17.5,0.5,43.5
"MRI",105,34,6,2,8
"MRI",106,42,6,9,56
"MRI",107,10,1,1,7
"MRI",108,32,5,2,23
