p,k,maxb,status1,solstatus1,s,minb,status2,solstatus2,group
1,2000,0.0040502951,OK,BEST_FE,14,0.0040502951,OK,OPTIMAL,1
0.9,2000,0.0752139399,OK,OPTIMAL,15,-0.067833828,OK,OPTIMAL,1
0.8,2000,0.1353563041,OK,OPTIMAL,17,-0.127160168,OK,OPTIMAL,1
0.7,2000,0.1929628888,OK,OPTIMAL,20,-0.184678562,OK,OPTIMAL,1
0.6,2000,0.2505778826,OK,OPTIMAL,23,-0.242288889,OK,OPTIMAL,1
0.5,2000,0.3104201591,OK,OPTIMAL,28,-0.302318534,OK,OPTIMAL,1
0.4,2000,0.3759704764,OK,OPTIMAL,35,-0.368182212,OK,BEST_FE,1
0.3,2000,0.4508832261,OK,BEST_FE,46,-0.443197163,OK,BEST_FE,1
0.2,2000,0.6021728904,OK,OPTIMAL,70,-0.533386301,OK,OPTIMAL,1
0.1,2000,0.7523352712,OK,OPTIMAL,140,-0.68507744,OK,OPTIMAL,1
