p,k,maxb,status1,solstatus1,s,minb,status2,solstatus2,group
1,2000,0.0043278014,OK,OPTIMAL,14,0.0043278013,OK,BEST_FE,1
0.9,2000,0.0790765271,OK,OPTIMAL,15,-0.070411717,OK,OPTIMAL,1
0.8,2000,0.1414109924,OK,OPTIMAL,17,-0.132131143,OK,OPTIMAL,1
0.7,2000,0.2009939796,OK,OPTIMAL,20,-0.191057299,OK,OPTIMAL,1
0.6,2000,0.2599301101,OK,OPTIMAL,23,-0.249998698,OK,OPTIMAL,1
0.5,2000,0.3206826298,OK,OPTIMAL,28,-0.312073047,OK,OPTIMAL,1
0.4,2000,0.387062513,OK,OPTIMAL,35,-0.380339259,OK,OPTIMAL,1
0.3,2000,0.4636030361,OK,OPTIMAL,46,-0.457831223,OK,OPTIMAL,1
0.2,2000,0.5575330843,OK,OPTIMAL,70,-0.551383981,OK,OPTIMAL,1
0.1,2000,0.696686783,OK,OPTIMAL,140,-0.688066019,OK,OPTIMAL,1
1,2000,0.0047938324,OK,OPTIMAL,14,0.0047938323,OK,BEST_FE,2
0.9,2000,0.0805845127,OK,OPTIMAL,15,-0.069113133,OK,OPTIMAL,2
0.8,2000,0.141259128,OK,OPTIMAL,17,-0.130643471,OK,OPTIMAL,2
0.7,2000,0.1987628844,OK,OPTIMAL,20,-0.1879271,OK,OPTIMAL,2
0.6,2000,0.255530836,OK,OPTIMAL,23,-0.245156084,OK,OPTIMAL,2
0.5,2000,0.315178249,OK,OPTIMAL,28,-0.305521437,OK,OPTIMAL,2
0.4,2000,0.3809415213,OK,OPTIMAL,35,-0.372533366,OK,OPTIMAL,2
0.3,2000,0.4577708956,OK,OPTIMAL,46,-0.451069377,OK,OPTIMAL,2
0.2,2000,0.5539177549,OK,OPTIMAL,70,-0.548451111,OK,OPTIMAL,2
0.1,2000,0.6896621134,OK,OPTIMAL,140,-0.697119221,OK,OPTIMAL,2
1,2000,0.0051430009,OK,OPTIMAL,14,0.0051430009,OK,OPTIMAL,3
0.9,2000,0.0778443848,OK,OPTIMAL,15,-0.071039368,OK,OPTIMAL,3
0.8,2000,0.1378044291,OK,OPTIMAL,17,-0.133068807,OK,OPTIMAL,3
0.7,2000,0.1962022663,OK,OPTIMAL,20,-0.191550272,OK,OPTIMAL,3
0.6,2000,0.2552665827,OK,OPTIMAL,23,-0.248493843,OK,OPTIMAL,3
0.5,2000,0.3176826895,OK,OPTIMAL,28,-0.307397173,OK,OPTIMAL,3
0.4,2000,0.3868132122,OK,OPTIMAL,35,-0.371263973,OK,OPTIMAL,3
0.3,2000,0.4673753216,OK,OPTIMAL,46,-0.443937953,OK,OPTIMAL,3
0.2,2000,0.5653532666,OK,OPTIMAL,70,-0.532845012,OK,OPTIMAL,3
0.1,2000,0.7105513533,OK,OPTIMAL,140,-0.668880358,OK,OPTIMAL,3
1,2000,-0.004460555,OK,OPTIMAL,14,-0.004460555,OK,OPTIMAL,4
0.9,2000,0.0694408659,OK,OPTIMAL,15,-0.07803311,OK,OPTIMAL,4
0.8,2000,0.1301096474,OK,OPTIMAL,17,-0.138138861,OK,OPTIMAL,4
