p,k,maxb,status1,solstatus1,s,minb,status2,solstatus2,group
1,5000,0.0044416392,OK,OPTIMAL,14,0.0044416392,OK,BEST_FE,1
0.9,5000,0.0744680775,OK,OPTIMAL,15,-0.065848081,OK,OPTIMAL,1
0.8,5000,0.1348883126,OK,OPTIMAL,17,-0.125379544,OK,OPTIMAL,1
0.7,5000,0.1919854252,OK,OPTIMAL,20,-0.182695264,OK,OPTIMAL,1
0.6,5000,0.2498874771,OK,OPTIMAL,23,-0.240534688,OK,OPTIMAL,1
0.5,5000,0.3095912018,OK,OPTIMAL,28,-0.300724539,OK,OPTIMAL,1
0.4,5000,0.3747838627,OK,OPTIMAL,35,-0.366620524,OK,OPTIMAL,1
0.3,5000,0.4488905936,OK,OPTIMAL,46,-0.44152194,OK,OPTIMAL,1
0.2,5000,0.5413267358,OK,OPTIMAL,70,-0.534943623,OK,OPTIMAL,1
0.1,5000,0.6839921898,OK,OPTIMAL,140,-0.673035523,OK,OPTIMAL,1
