p,k,maxb,status1,solstatus1,minb,status2,solstatus2,group
1,100,-0.039075528,OK,OPTIMAL,-0.039075528,OK,BEST_FE,1
0.9,100,0.0417824952,OK,OPTIMAL,-0.123757483,OK,OPTIMAL,1
0.8,100,0.1087518227,OK,OPTIMAL,-0.189126864,OK,OPTIMAL,1
0.7,100,0.1720211671,OK,OPTIMAL,-0.252613487,OK,OPTIMAL,1
0.6,100,0.2389421958,OK,OPTIMAL,-0.319184949,OK,OPTIMAL,1
0.5,100,0.3067427158,OK,OPTIMAL,-0.384893522,OK,OPTIMAL,1
0.4,100,0.3811525988,OK,OPTIMAL,-0.456165824,OK,OPTIMAL,1
0.3,100,0.4593502248,OK,OPTIMAL,-0.531807071,OK,OPTIMAL,1
0.2,100,0.5615150002,OK,OPTIMAL,-0.630771803,OK,OPTIMAL,1
0.1,100,0.724102742,OK,OPTIMAL,-0.767837154,OK,OPTIMAL,1
1,100,-0.048196783,OK,OPTIMAL,-0.048196783,OK,BEST_FE,2
0.9,100,0.0411179587,OK,OPTIMAL,-0.127090774,OK,OPTIMAL,2
0.8,100,0.1056735834,OK,OPTIMAL,-0.197676874,OK,OPTIMAL,2
0.7,100,0.159579084,OK,OPTIMAL,-0.260501296,OK,OPTIMAL,2
0.6,100,0.2154763648,OK,OPTIMAL,-0.316331687,OK,OPTIMAL,2
0.5,100,0.2784325333,OK,OPTIMAL,-0.37482599,OK,OPTIMAL,2
0.4,100,0.3540699604,OK,OPTIMAL,-0.443770856,OK,OPTIMAL,2
0.3,100,0.4473510695,OK,OPTIMAL,-0.533178311,OK,OPTIMAL,2
0.2,100,0.5501083002,OK,OPTIMAL,-0.664063504,OK,OPTIMAL,2
0.1,100,0.6628721643,OK,OPTIMAL,-0.853076316,OK,OPTIMAL,2
1,100,0.0110027893,OK,BEST_FE,0.0110027893,OK,OPTIMAL,3
0.9,100,0.0913646914,OK,OPTIMAL,-0.07103627,OK,OPTIMAL,3
0.8,100,0.1524056241,OK,OPTIMAL,-0.13700537,OK,OPTIMAL,3
0.7,100,0.214753275,OK,OPTIMAL,-0.20162793,OK,OPTIMAL,3
0.6,100,0.2774321755,OK,OPTIMAL,-0.264872502,OK,OPTIMAL,3
0.5,100,0.3460687139,OK,OPTIMAL,-0.324063123,OK,OPTIMAL,3
0.4,100,0.4248796135,OK,OPTIMAL,-0.388706481,OK,OPTIMAL,3
0.3,100,0.5073117532,OK,OPTIMAL,-0.464584051,OK,OPTIMAL,3
0.2,100,0.6034198897,OK,OPTIMAL,-0.554994124,OK,OPTIMAL,3
0.1,100,0.750386674,OK,OPTIMAL,-0.713281627,OK,OPTIMAL,3
1,100,0.0162370122,OK,BEST_FE,0.0162370122,OK,OPTIMAL,4
0.9,100,0.0852951968,OK,OPTIMAL,-0.047766679,OK,OPTIMAL,4
0.8,100,0.1438256608,OK,OPTIMAL,-0.102221805,OK,OPTIMAL,4
0.7,100,0.1962490012,OK,OPTIMAL,-0.155754903,OK,OPTIMAL,4
0.6,100,0.2475930803,OK,OPTIMAL,-0.211077256,OK,OPTIMAL,4
0.5,100,0.3016307106,OK,OPTIMAL,-0.269156221,OK,OPTIMAL,4
0.4,100,0.3572724466,OK,OPTIMAL,-0.3308621,OK,OPTIMAL,4
0.3,100,0.4177223662,OK,OPTIMAL,-0.403962039,OK,OPTIMAL,4
0.2,100,0.4904573349,OK,OPTIMAL,-0.494504131,OK,OPTIMAL,4
0.1,100,0.5932976882,OK,OPTIMAL,-0.606313886,OK,OPTIMAL,4
1,100,0.0527223087,OK,BEST_FE,0.0527223086,OK,OPTIMAL,5
0.9,100,0.1209775101,OK,OPTIMAL,-0.029928275,OK,OPTIMAL,5
0.8,100,0.1803786804,OK,OPTIMAL,-0.093810152,OK,OPTIMAL,5
0.7,100,0.2375035723,OK,OPTIMAL,-0.152378828,OK,OPTIMAL,5
0.6,100,0.3024471827,OK,OPTIMAL,-0.20782524,OK,OPTIMAL,5
0.5,100,0.3698923877,OK,OPTIMAL,-0.264447728,OK,OPTIMAL,5
0.4,100,0.4436083077,OK,OPTIMAL,-0.32192868,OK,OPTIMAL,5
0.3,100,0.5314625814,OK,OPTIMAL,-0.378603402,OK,OPTIMAL,5
0.2,100,0.6392373166,OK,OPTIMAL,-0.458287739,OK,OPTIMAL,5
0.1,100,0.7976049238,OK,OPTIMAL,-0.562606486,OK,OPTIMAL,5
1,100,0.0890400343,OK,BEST_FE,0.0890400342,OK,OPTIMAL,6
0.9,100,0.1702630481,OK,OPTIMAL,0.0203064242,OK,OPTIMAL,6
0.8,100,0.2289459196,OK,OPTIMAL,-0.03921429,OK,OPTIMAL,6
0.7,100,0.2862695717,OK,OPTIMAL,-0.097580702,OK,OPTIMAL,6
0.6,100,0.3467572028,OK,OPTIMAL,-0.158939296,OK,OPTIMAL,6
0.5,100,0.4029107609,OK,OPTIMAL,-0.224830265,OK,OPTIMAL,6
0.4,100,0.4610728433,OK,OPTIMAL,-0.297600234,OK,OPTIMAL,6
0.3,100,0.5246597925,OK,OPTIMAL,-0.371332971,OK,OPTIMAL,6
0.2,100,0.602442223,OK,OPTIMAL,-0.470966882,OK,OPTIMAL,6
0.1,100,0.7086774282,OK,OPTIMAL,-0.643001882,OK,OPTIMAL,6
1,100,0.014655344,OK,BEST_FE,0.014655344,OK,OPTIMAL,7
0.9,100,0.0876844594,OK,OPTIMAL,-0.062432113,OK,OPTIMAL,7
0.8,100,0.1531815421,OK,OPTIMAL,-0.122463668,OK,OPTIMAL,7
0.7,100,0.2186230442,OK,OPTIMAL,-0.180352968,OK,OPTIMAL,7
0.6,100,0.2793139811,OK,OPTIMAL,-0.243143023,OK,OPTIMAL,7
0.5,100,0.3372241017,OK,OPTIMAL,-0.307913126,OK,OPTIMAL,7
0.4,100,0.4014173521,OK,OPTIMAL,-0.382396413,OK,OPTIMAL,7
0.3,100,0.4698455962,OK,OPTIMAL,-0.461440941,OK,OPTIMAL,7
0.2,100,0.5635150506,OK,OPTIMAL,-0.539833972,OK,OPTIMAL,7
0.1,100,0.7094700646,OK,OPTIMAL,-0.643618636,OK,OPTIMAL,7
1,100,0.005795962,OK,BEST_FE,0.005795962,OK,OPTIMAL,8
0.9,100,0.0822288251,OK,OPTIMAL,-0.075119563,OK,OPTIMAL,8
0.8,100,0.1372901148,OK,OPTIMAL,-0.13512471,OK,OPTIMAL,8
0.7,100,0.1891418306,OK,OPTIMAL,-0.190356331,OK,OPTIMAL,8
0.6,100,0.246501143,OK,OPTIMAL,-0.245926766,OK,OPTIMAL,8
0.5,100,0.3073889852,OK,OPTIMAL,-0.295797116,OK,OPTIMAL,8
0.4,100,0.3834444546,OK,OPTIMAL,-0.355325668,OK,OPTIMAL,8
0.3,100,0.4636557627,OK,OPTIMAL,-0.422181864,OK,OPTIMAL,8
0.2,100,0.5698652106,OK,OPTIMAL,-0.520562532,OK,OPTIMAL,8
0.1,100,0.7350632655,OK,OPTIMAL,-0.683127062,OK,OPTIMAL,8
1,100,-0.005078134,OK,OPTIMAL,-0.005078134,OK,BEST_FE,9
0.9,100,0.0680663156,OK,OPTIMAL,-0.079717763,OK,OPTIMAL,9
0.8,100,0.1225264889,OK,OPTIMAL,-0.142901615,OK,OPTIMAL,9
0.7,100,0.1747864136,OK,OPTIMAL,-0.199931181,OK,OPTIMAL,9
0.6,100,0.2352611672,OK,OPTIMAL,-0.256913873,OK,OPTIMAL,9
0.5,100,0.3037000931,OK,OPTIMAL,-0.313856596,OK,OPTIMAL,9
0.4,100,0.3727384609,OK,OPTIMAL,-0.365651608,OK,OPTIMAL,9
0.3,100,0.4497497469,OK,OPTIMAL,-0.424932633,OK,OPTIMAL,9
0.2,100,0.5466011552,OK,OPTIMAL,-0.515882047,OK,OPTIMAL,9
