p,k,maxb,status1,solstatus1,s,minb,status2,solstatus2,group
1,2000,0.0040502952,OK,OPTIMAL,14,0.004050295,OK,BEST_FEASIBLE,1
0.9,2000,0.058385807,OK,OPTIMAL,15,-0.051601352,OK,OPTIMAL,1
0.8,2000,0.1455050655,OK,OPTIMAL,17,-0.13730049,OK,OPTIMAL,1
0.7,2000,0.2687338528,OK,OPTIMAL,20,-0.260307057,OK,OPTIMAL,1
0.6,2000,0.4076220982,OK,OPTIMAL,23,-0.399340453,OK,OPTIMAL,1
0.5,2000,0.9611653396,OK,OPTIMAL,28,-1.078770219,OK,BEST_FEASIBLE,1
0.4,2000,1.3128820321,OK,BEST_FEASIBLE,35,-1.311114594,OK,BEST_FEASIBLE,1
0.3,2000,1.3128745471,OK,BEST_FEASIBLE,46,-1.311087701,OK,OPTIMAL,1
0.2,2000,1.3126153089,OK,BEST_FEASIBLE,70,-1.311158934,OK,BEST_FEASIBLE,1
0.1,2000,1.312796987,OK,BEST_FEASIBLE,140,-1.311143639,OK,BEST_FEASIBLE,1
